battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration_x,aggressive_discharge_count,avg_soc,risk_score,risk_level,risk_reason,recommended_action,high_temp_duration_y,aging_budget,health_index,remaining_health,consumed_life,battery_state,equivalent_aging_factor,estimated_total_cycles,rul_cycles,replacement_policy,health_index_saturated,risk_score_saturated,health_shap_stress,health_shap_temperature,health_shap_deep_discharge,health_shap_fast_charge,health_shap_aggressive_discharge,health_shap_soc_extremes,health_top_causes,health_top_cause_contributions,health_dominant_cause,health_dominant_contribution,health_strongest_protective_factor,health_n_significant_drivers,health_attribution_reference,risk_shap_stress,risk_shap_temperature,risk_shap_deep_discharge,risk_shap_fast_charge,risk_shap_aggressive_discharge,risk_shap_soc_extremes,risk_top_causes,risk_top_cause_contributions,risk_dominant_cause,risk_dominant_contribution,risk_strongest_protective_factor,risk_n_significant_drivers,risk_attribution_reference,primary_causes,dominant_cause,attribution_method,evidence_confidence,evidence_note,guardian_caveat,guardian_status,recommendation,guardian_report
SIM000,14.825,27.714335464439937,8,343,15,8,14.018145864494267,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,15,51.0,49.0,51.0,49.0,WARNING,0.5278898591403816,1894.3345523409087,966,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM000 is in WARNING state with estimated remaining life of 966 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM001,21.975,29.572925592974258,19,396,52,39,4.537648519457142,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,52,51.0,49.0,51.0,49.0,WARNING,0.5936828097830531,1684.4011373100489,859,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM001 is in WARNING state with estimated remaining life of 859 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM002,30.7625,32.62069126909442,49,386,117,87,5.970262020895119,65.0,HIGH,"high temperature, deep discharge, frequent fast charging, low SOC exposure",Reduce fast charging frequency and follow 20-80 charging rule.,117,35.0,65.0,35.0,65.0,DEGRADED,0.7497398199818358,1333.796036102534,467,MONITOR,False,False,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,"high temperature exposure, frequent fast charging",high temperature exposure,exact_shapley,MIXED,"Temperature exposure is a real, cohort-controlled, statistically significant signal (coefficient 0.0038 Ah/°C, 95% CI 0.002-0.005, p<0.0001; R²=0.015 in-sample -- a real but modest effect, see docs/final_report.md Section 4.3). This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.","Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Battery performance degradation detected,Reduce fast charging and monitor temperature,"Battery SIM002 is in DEGRADED state with estimated remaining life of 467 cycles. Primary degradation factors include high temperature exposure, frequent fast charging. Recommended action: Reduce fast charging and monitor temperature"
SIM003,16.1,27.6959935359902,6,378,14,10,6.7520157957456775,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,14,51.0,49.0,51.0,49.0,WARNING,0.5398436040435874,1852.3883445310933,945,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM003 is in WARNING state with estimated remaining life of 945 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM004,19.6625,29.177248724262277,16,360,45,34,10.323831104959313,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,45,51.0,49.0,51.0,49.0,WARNING,0.565522607257675,1768.2759047409036,902,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM004 is in WARNING state with estimated remaining life of 902 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM005,33.1,33.60032553666434,55,396,134,95,3.972613185153668,65.0,HIGH,"high temperature, deep discharge, frequent fast charging, low SOC exposure",Reduce fast charging frequency and follow 20-80 charging rule.,134,35.0,65.0,35.0,65.0,DEGRADED,0.7760016276833218,1288.6570908174558,451,MONITOR,False,False,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,"high temperature exposure, frequent fast charging",high temperature exposure,exact_shapley,MIXED,"Temperature exposure is a real, cohort-controlled, statistically significant signal (coefficient 0.0038 Ah/°C, 95% CI 0.002-0.005, p<0.0001; R²=0.015 in-sample -- a real but modest effect, see docs/final_report.md Section 4.3). This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.","Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Battery performance degradation detected,Reduce fast charging and monitor temperature,"Battery SIM005 is in DEGRADED state with estimated remaining life of 451 cycles. Primary degradation factors include high temperature exposure, frequent fast charging. Recommended action: Reduce fast charging and monitor temperature"
SIM006,17.0,28.2819462774566,11,374,22,14,7.3294680780875225,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,22,51.0,49.0,51.0,49.0,WARNING,0.5544097313872831,1803.7201430388488,920,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM006 is in WARNING state with estimated remaining life of 920 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM007,22.775,30.083410038392998,30,397,59,36,3.6750042838461705,65.0,HIGH,"high temperature, deep discharge, frequent fast charging, low SOC exposure",Reduce fast charging frequency and follow 20-80 charging rule.,59,35.0,65.0,35.0,65.0,DEGRADED,0.6907352320101467,1447.732725446543,507,MONITOR,False,False,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,"high temperature exposure, frequent fast charging",high temperature exposure,exact_shapley,MIXED,"Temperature exposure is a real, cohort-controlled, statistically significant signal (coefficient 0.0038 Ah/°C, 95% CI 0.002-0.005, p<0.0001; R²=0.015 in-sample -- a real but modest effect, see docs/final_report.md Section 4.3). This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.","Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Battery performance degradation detected,Reduce fast charging and monitor temperature,"Battery SIM007 is in DEGRADED state with estimated remaining life of 507 cycles. Primary degradation factors include high temperature exposure, frequent fast charging. Recommended action: Reduce fast charging and monitor temperature"
SIM008,30.675,32.852968874210426,46,396,112,87,3.331788906818283,65.0,HIGH,"high temperature, deep discharge, frequent fast charging, low SOC exposure",Reduce fast charging frequency and follow 20-80 charging rule.,112,35.0,65.0,35.0,65.0,DEGRADED,0.7477193898255976,1337.400117754397,468,MONITOR,False,False,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,"high temperature exposure, frequent fast charging",high temperature exposure,exact_shapley,MIXED,"Temperature exposure is a real, cohort-controlled, statistically significant signal (coefficient 0.0038 Ah/°C, 95% CI 0.002-0.005, p<0.0001; R²=0.015 in-sample -- a real but modest effect, see docs/final_report.md Section 4.3). This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.","Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Battery performance degradation detected,Reduce fast charging and monitor temperature,"Battery SIM008 is in DEGRADED state with estimated remaining life of 468 cycles. Primary degradation factors include high temperature exposure, frequent fast charging. Recommended action: Reduce fast charging and monitor temperature"
SIM009,17.4625,28.15277921455258,7,383,22,18,6.287650073169661,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,22,51.0,49.0,51.0,49.0,WARNING,0.547354805163672,1826.9685230971463,932,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM009 is in WARNING state with estimated remaining life of 932 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
