battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration,aggressive_discharge_count,avg_soc,risk_score,risk_level,risk_reason,recommended_action
B0005,13.6704536416787,26.36970063096213,1250087084.173,12770538.935,3581775.549,45284,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0006,11.407560300139654,26.42915375710223,1027942388.029,19318002.412,4680506.022,44512,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0007,0.0651789814323248,26.11936256471238,621335.363,14283397.64,4420739.468,195,,63,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0018,14.44942855508523,25.9131992338774,696253328.092,10542310.751,0.0,32084,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0025,16.337940549366117,28.48235563388605,269370149.451,11554824.172,2827773.483,4349,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0026,15.71466250480215,28.409643565947107,259092519.563,12040928.258,1326695.799,4245,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0027,0.9652699769496736,28.73978633827821,0.0,17679028.938,13512368.089,4380,,57,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.
B0028,2.219207645024971,28.10658658350969,35827376.087,3311717.47,0.0,775,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0029,37.54696299112113,45.87414120408369,344796467.291,1562537.741,985901207.929,6220,,100,CRITICAL,"high temperature, deep discharge, frequent fast charging, aggressive discharge",Immediate inspection recommended. Avoid fast charging and maintain 20-80 SOC.
B0030,36.69060350991519,46.02763988515561,329619709.906,1494574.316,985901207.929,5979,,100,CRITICAL,"high temperature, deep discharge, frequent fast charging, aggressive discharge",Immediate inspection recommended. Avoid fast charging and maintain 20-80 SOC.
B0031,18.486999284983757,45.76434850852099,17419.788,1249185.044,985901207.929,6286,,100,CRITICAL,"high temperature, deep discharge, frequent fast charging, aggressive discharge",Immediate inspection recommended. Avoid fast charging and maintain 20-80 SOC.
B0032,19.97773276494067,45.78443570278495,26805751.409,2241295.649,985901207.929,6244,,100,CRITICAL,"high temperature, deep discharge, frequent fast charging, aggressive discharge",Immediate inspection recommended. Avoid fast charging and maintain 20-80 SOC.
B0033,11.492163775896485,27.238503007917544,707510432.104,51917917.462,57064336.41,21144,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0034,11.324880927799573,27.40108438647941,695238284.406,49184044.403,62862343.906,20983,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0036,1.074402402092367,26.33128402410693,63108272.671,12236115.003,0.0,3648,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0038,23.357018848023813,40.36826635342205,244608902.685,9478175.884,843950145.615,3239,,100,CRITICAL,"high temperature, deep discharge, frequent fast charging, aggressive discharge",Immediate inspection recommended. Avoid fast charging and maintain 20-80 SOC.
B0039,12.379543139507163,39.81785923793559,17915.189,8055302.003,843091844.168,876,,90,CRITICAL,"high temperature, deep discharge, frequent fast charging, aggressive discharge",Immediate inspection recommended. Avoid fast charging and maintain 20-80 SOC.
B0040,13.341241990131698,39.6950888760808,21296583.371,9754529.887,842939607.906,972,,90,CRITICAL,"high temperature, deep discharge, frequent fast charging, aggressive discharge",Immediate inspection recommended. Avoid fast charging and maintain 20-80 SOC.
B0041,0.4849681837245289,6.297185813670048,7081525.101,13738733.726,0.0,219,,63,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0042,9.881392637549794,15.601415125478608,424346814.575,18583492.758,44625.108,14989,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0043,0.0837570001732001,14.912445695603653,0.0,12587414.203,0.0,287,,50,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.
B0044,0.268720880722822,15.003839161322992,8666681.524,12136053.995,0.0,245,,63,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0045,0.8283453667399827,6.855953346766228,8996729.851,31213932.78,0.0,0,,57,MEDIUM,"deep discharge, frequent fast charging",Avoid deep discharge and prolonged high SOC exposure.
B0046,3.384522727997195,7.179649440900757,62278161.767,31412650.168,0.0,0,,57,MEDIUM,"deep discharge, frequent fast charging",Avoid deep discharge and prolonged high SOC exposure.
B0047,0.305557202511874,6.6861018134930825,0.0,24206534.59,0.0,0,,44,MEDIUM,deep discharge,Avoid deep discharge and prolonged high SOC exposure.
B0048,0.3901300564215358,6.5860901776002185,2315395.9,22099490.64,0.0,0,,57,MEDIUM,"deep discharge, frequent fast charging",Avoid deep discharge and prolonged high SOC exposure.
B0049,4.892562157964349,6.962742015901989,56311175.488,6382122.416,0.0,4979,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
B0050,7.502263168751744,6.773815941053559,53007927.67,122542402.957,0.0,3976,,70,HIGH,"deep discharge, frequent fast charging, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.
