battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration,aggressive_discharge_count,avg_soc,aging_budget,stress_norm,temp_norm,dd_norm,fc_norm,soc_norm,health_index,battery_state,remaining_health,consumed_life,equivalent_aging_factor,estimated_total_cycles,rul_cycles,replacement_policy
B0005,13.6704536416787,26.36970063096213,1250087084.173,12770538.935,3581775.549,45284,,35,0.136704536416787,0.5273940126192426,0.0178825369039222,1.0,0,65,DEGRADED,35,65,0.5454250105355951,1833.4326088530895,642,NORMAL
B0006,11.407560300139654,26.42915375710223,1027942388.029,19318002.412,4680506.022,44512,,35,0.1140756030013965,0.5285830751420446,0.0270509250080172,0.8222966232060859,0,65,DEGRADED,35,65,0.5209004472680275,1919.7526230678268,672,NORMAL
B0007,0.0651789814323248,26.11936256471238,621335.363,14283397.64,4420739.468,195,,42,0.0006517898143232,0.5223872512942476,0.0200009871713919,0.0004970336633875,0,58,WARNING,42,58,0.3666715653073484,2727.2362915891454,1145,NORMAL
B0018,14.44942855508523,25.9131992338774,696253328.092,10542310.751,0.0,32084,,35,0.1444942855508523,0.518263984677548,0.0147623574867847,0.556963860283869,0,65,DEGRADED,35,65,0.4760630467093243,2100.5621144347765,735,NORMAL
B0025,16.337940549366117,28.48235563388605,269370149.451,11554824.172,2827773.483,4349,,35,0.1633794054936611,0.5696471126777211,0.0161801761637339,0.2154811075655603,0,65,DEGRADED,35,65,0.43796997953701117,2283.2615172782494,799,NORMAL
B0026,15.71466250480215,28.409643565947107,259092519.563,12040928.258,1326695.799,4245,,35,0.1571466250480215,0.5681928713189421,0.0168608658590777,0.2072595764273523,0,65,DEGRADED,35,65,0.43650932746565396,2290.901790818395,802,NORMAL
B0027,0.9652699769496736,28.73978633827821,0.0,17679028.938,13512368.089,4380,,48,0.0096526997694967,0.5747957267655642,0.0247558767111103,0.0,0,52,WARNING,48,52,0.35665010703361316,2803.868498224657,1346,NORMAL
B0028,2.219207645024971,28.10658658350969,35827376.087,3311717.47,0.0,775,,35,0.0221920764502497,0.5621317316701938,0.0046373853268111,0.0286599042103548,0,65,DEGRADED,35,65,0.4057593956144639,2464.514711940668,863,NORMAL
B0029,37.54696299112113,45.87414120408369,344796467.291,1562537.741,985901207.929,6220,,15,0.3754696299112112,0.9174828240816738,0.0021880156318715,0.2758179583297602,0,85,CRITICAL,15,85,0.6111810028962569,1636.176509513896,245,PLAN_SERVICE
B0030,36.69060350991519,46.02763988515561,329619709.906,1494574.316,985901207.929,5979,,15,0.3669060350991519,0.9205527977031122,0.0020928467073754,0.2636773982222696,0,85,CRITICAL,15,85,0.6101083785005936,1639.0530522750837,246,PLAN_SERVICE
B0031,18.48699928498376,45.76434850852099,17419.788,1249185.044,985901207.929,6286,,15,0.1848699928498375,0.9152869701704198,0.0017492290468599,1.3934859595421008e-05,0,85,CRITICAL,15,85,0.5691736785809163,1756.9329672679787,264,PLAN_SERVICE
B0032,19.97773276494067,45.78443570278495,26805751.409,2241295.649,985901207.929,6244,,15,0.1997773276494067,0.915688714055699,0.0031384777384763,0.0214431072429913,0,85,CRITICAL,15,85,0.5727663401480687,1745.9126521671733,262,PLAN_SERVICE
B0033,11.492163775896485,27.238503007917544,707510432.104,51917917.462,57064336.41,21144,,35,0.1149216377589648,0.5447700601583508,0.0727004615634887,0.5659689161351956,0,65,DEGRADED,35,65,0.49562794477256483,2017.6424887803348,706,NORMAL
