battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration,aggressive_discharge_count,avg_soc
B0005,13.6704536416787,26.369700630962132,1250087084.173,12770538.935,3581775.549,45284,
B0006,11.407560300139654,26.42915375710223,1027942388.029,19318002.412,4680506.022,44512,
B0007,0.06517898143232487,26.11936256471238,621335.363,14283397.64,4420739.468,195,
B0018,14.44942855508523,25.9131992338774,696253328.092,10542310.751,0.0,32084,
B0025,16.337940549366117,28.48235563388605,269370149.451,11554824.172,2827773.483,4349,
B0026,15.71466250480215,28.409643565947107,259092519.563,12040928.258,1326695.7989999999,4245,
B0027,0.9652699769496735,28.739786338278215,0.0,17679028.938,13512368.089,4380,
B0028,2.219207645024971,28.10658658350969,35827376.087,3311717.47,0.0,775,
B0029,37.54696299112113,45.87414120408369,344796467.291,1562537.741,985901207.929,6220,
B0030,36.69060350991519,46.02763988515561,329619709.906,1494574.316,985901207.929,5979,
B0031,18.486999284983753,45.76434850852099,17419.788,1249185.044,985901207.929,6286,
B0032,19.97773276494067,45.78443570278495,26805751.408999998,2241295.649,985901207.929,6244,
B0033,11.492163775896483,27.238503007917544,707510432.104,51917917.462,57064336.41,21144,
B0034,11.324880927799573,27.401084386479415,695238284.406,49184044.403,62862343.906,20983,
B0036,1.074402402092367,26.331284024106935,63108272.671000004,12236115.003,0.0,3648,
B0038,23.357018848023813,40.36826635342205,244608902.685,9478175.884,843950145.615,3239,
B0039,12.379543139507163,39.81785923793559,17915.189,8055302.0030000005,843091844.168,876,
B0040,13.341241990131698,39.6950888760808,21296583.371,9754529.887,842939607.906,972,
B0041,0.48496818372452893,6.297185813670048,7081525.101,13738733.726,0.0,219,
B0042,9.881392637549794,15.601415125478608,424346814.575,18583492.758,44625.108,14989,
B0043,0.08375700017320017,14.912445695603653,0.0,12587414.203,0.0,287,
B0044,0.268720880722822,15.003839161322992,8666681.524,12136053.995,0.0,245,
B0045,0.8283453667399827,6.855953346766228,8996729.851,31213932.78,0.0,0,
B0046,3.384522727997195,7.179649440900757,62278161.767,31412650.168,0.0,0,
B0047,0.305557202511874,6.6861018134930825,0.0,24206534.59,0.0,0,
B0048,0.3901300564215358,6.5860901776002185,2315395.9,22099490.64,0.0,0,
B0049,4.892562157964349,6.962742015901989,56311175.488,6382122.416,0.0,4979,
B0050,7.502263168751744,6.773815941053559,53007927.67,122542402.957,0.0,3976,
B0051,0.08554027981701472,6.593545262414338,0.0,4224195.221,0.0,0,
B0052,18.939626263484243,5.963321750801586,986415.675,714134633.336,0.0,0,
B0053,5.829251469454416,7.318231537686217,94568001.386,13870092.353,0.0,10978,
B0054,4.264354925796797,7.2403126196387335,143074710.856,23402229.114,0.0,20184,
B0055,0.08237113600863914,6.673181900926906,0.0,13016074.979,0.0,1,
B0056,0.25688647627128447,6.560871984458269,6925122.871,15123458.31,0.0,0,
