dataset,cell_id,cycle,voltage_v,current_a,temperature_c,soc,capacity_ah,speed_kmh,distance_km,usage_profile,power_w,soc_band,mode_guess,aggressive_discharge_event,fast_charge_flag,high_temp_flag,deep_discharge_flag,high_soc_flag,stress_score,stress_rolling_mean,stress_rolling_std,temp_rolling_mean,temp_rolling_max,battery_age_factor,cycle_stress_index
simulated,SIM000,1,3.843338736134335,-1.346052043589046,28.060360372389727,90.09990367145151,1.99958,107.80601164730804,1.847113320114471,gentle,-5.173333959978563,high_90_100,discharge,0,0,0,0,1,10.0,10.0,0.0,28.060360372389727,28.060360372389727,0.0025,0.025
simulated,SIM000,2,3.8732643866934677,-1.265797680120997,26.641806056187537,88.92384516683059,1.99928,59.9072778944598,2.489730582322259,gentle,-4.902769075171867,elevated_80_90,discharge,0,0,0,0,0,0.0,5.0,7.0710678118654755,27.351083214288632,28.060360372389727,0.005,0.0
simulated,SIM000,3,3.859716103041162,-0.8317889521948025,26.94189094070629,88.10180543847011,1.99898,100.3809009189978,4.230395830035173,gentle,-3.2104692131180146,elevated_80_90,discharge,0,0,0,0,0,0.0,3.3333333333333335,5.773502691896257,27.214685789761187,28.060360372389727,0.0075,0.0
simulated,SIM000,4,3.844533369045892,-1.4171432338617258,28.920114984383446,86.70307954974727,1.99868,49.324282232433674,4.844261997049141,gentle,-5.448254451299011,elevated_80_90,discharge,0,0,0,0,0,0.0,2.5,5.0,27.64104308841675,28.920114984383446,0.01,0.0
simulated,SIM000,5,3.8617193120023603,1.3047209920237657,26.872299039670253,87.71405665906401,1.99838,0.0,4.844261997049141,gentle,5.038466251673054,elevated_80_90,charge,0,0,0,0,0,0.0,2.0,4.472135954999579,27.487294278667452,28.920114984383446,0.0125,0.0
simulated,SIM000,6,3.8541171647804453,-0.8812175685452617,26.565568042424154,87.08369420166139,1.99808,81.42459535774779,5.632210233048664,gentle,-3.3963157568363815,elevated_80_90,discharge,0,0,0,0,0,0.0,1.6666666666666667,4.0824829046386295,27.33367323929357,28.920114984383446,0.015,0.0
simulated,SIM000,7,3.8630895465295216,-1.4710935465329518,26.5092936561689,85.93099485942297,1.9977800000000001,71.18670763576043,6.321124150543593,gentle,-5.6829661015784865,elevated_80_90,discharge,0,0,0,0,0,0.0,1.4285714285714286,3.7796447300922718,27.215904727418614,28.920114984383446,0.0175,0.0
simulated,SIM000,8,3.856769512229303,-1.2520774800008863,26.454350743981674,84.90249865103993,1.9974800000000001,70.32864446708722,7.140270086868871,gentle,-4.828974251816313,elevated_80_90,discharge,0,0,0,0,0,0.0,1.25,3.5355339059327373,27.120710479489,28.920114984383446,0.02,0.0
simulated,SIM000,9,3.8411578866083715,-0.6509092287980112,25.979958764990034,84.49677319670927,1.9971800000000002,45.32455028197969,7.662550549561166,gentle,-2.5002451176636535,elevated_80_90,discharge,0,0,0,0,0,0.0,1.1111111111111112,3.333333333333333,26.99396028898911,28.920114984383446,0.0225,0.0
simulated,SIM000,10,3.8245422191312484,-1.521030576999052,28.867249006122538,83.48256648382566,1.9968800000000002,22.04408658204744,7.862723516291142,gentle,-5.817245658322437,elevated_80_90,discharge,0,0,0,0,0,0.0,1.0,3.162277660168379,27.181289160702455,28.920114984383446,0.025,0.0
simulated,SIM000,11,3.8365224125720925,1.344480562616604,27.10569816431182,84.52919419755511,1.9965800000000002,0.0,7.862723516291142,gentle,5.1581298117461385,elevated_80_90,charge,0,0,0,0,0,0.0,0.9090909090909091,3.015113445777636,27.17441725193967,28.920114984383446,0.0275,0.0
simulated,SIM000,12,3.832432480880017,0.47700885318077296,25.243435257707727,84.99893299020118,1.9962800000000003,0.0,7.862723516291142,gentle,1.8281042225973214,elevated_80_90,charge,0,0,0,0,0,0.0,0.8333333333333334,2.886751345948128,27.013502085753675,28.920114984383446,0.03,0.0
simulated,SIM000,13,3.8011596824495024,-1.3753352837384936,29.144691986218806,83.92652272833725,1.9959800000000003,44.50174056606431,8.270212227907678,gentle,-5.227869030397009,elevated_80_90,discharge,0,0,0,0,0,0.0,0.7692307692307693,2.773500981126145,27.17743977040484,29.144691986218806,0.0325,0.0
simulated,SIM000,14,3.865610689246651,-0.5651591744088476,26.113792252763822,83.39377785505815,1.9956800000000003,88.26675768516891,9.738402238145548,gentle,-2.1846853457206534,elevated_80_90,discharge,0,0,0,0,0,0.0,0.7142857142857143,2.6726124191242433,27.10146494771619,29.144691986218806,0.035,0.0
simulated,SIM000,15,3.8429909424101556,0.9237111032559144,27.676982705441098,83.96338030679132,1.9953800000000004,0.0,9.738402238145548,gentle,3.549813403216171,elevated_80_90,charge,0,0,0,0,0,0.0,0.6666666666666666,2.5819888974716108,27.139832798231186,29.144691986218806,0.0375,0.0
simulated,SIM000,16,3.8042804374241657,-0.5558894528053291,25.94009517132302,83.42414082855466,1.9950800000000004,72.29550257303555,10.617691780884913,gentle,-2.1147593706777372,elevated_80_90,discharge,0,0,0,0,0,0.0,0.625,2.5,27.064849196549428,29.144691986218806,0.04,0.0
simulated,SIM000,17,3.8377027415777585,-0.42409499988365784,23.74656322740009,83.08712808272038,1.9947800000000004,64.16362949190687,11.853093007036847,gentle,-1.627550543742933,elevated_80_90,discharge,0,0,0,0,0,0.0,0.5882352941176471,2.4253562503633295,26.869655904246525,29.144691986218806,0.0425,0.0
simulated,SIM000,18,3.7965216324864564,-0.9583671904575701,25.536307158248373,82.5038228451359,1.9944800000000005,94.3662731774922,13.622831418933389,gentle,-3.638461770437433,elevated_80_90,discharge,0,0,0,0,0,0.0,0.5555555555555556,2.3570226039551585,26.795580973913292,29.144691986218806,0.045,0.0
simulated,SIM000,19,3.824622810399013,1.2891339520378526,28.90733001805963,83.65218059244897,1.9941800000000005,0.0,13.622831418933389,gentle,4.9304511186237985,elevated_80_90,charge,0,0,0,0,0,0.0,0.5263157894736842,2.2941573387056176,26.906725660447314,29.144691986218806,0.0475,0.0
simulated,SIM000,20,3.819939627542487,1.132278704087225,28.47646051488602,84.49954277605684,1.9938800000000005,0.0,13.622831418933389,gentle,4.325236291165244,elevated_80_90,charge,0,0,0,0,0,0.0,0.5,2.2360679774997894,26.98521240316925,29.144691986218806,0.05,0.0
simulated,SIM000,21,3.8319119783534736,1.0725856938475717,28.058937684305963,85.25291199007226,1.9935800000000006,0.0,13.622831418933389,gentle,4.110053968065082,elevated_80_90,charge,0,0,0,0,0,0.0,0.47619047619047616,2.1821789023599236,27.036342178461474,29.144691986218806,0.0525,0.0
simulated,SIM000,22,3.8395078877742232,-1.637515899382371,29.61191440544066,83.78005943673648,1.9932800000000006,100.17132417906724,15.498174808148402,gentle,-6.2872552120343155,elevated_80_90,discharge,0,0,0,0,0,0.0,0.45454545454545453,2.1320071635561044,27.153413643324164,29.61191440544066,0.055,0.0
simulated,SIM000,23,3.809344904923687,0.4417000020922729,24.55400978185018,84.17702222714999,1.9929800000000006,0.0,15.498174808148402,gentle,1.6825876524749817,elevated_80_90,charge,0,0,0,0,0,0.0,0.43478260869565216,2.0851441405707476,27.04039608412964,29.61191440544066,0.0575,0.0
simulated,SIM000,24,3.848150802826357,-0.529926474936741,25.004258623406784,83.82106673314398,1.9926800000000007,73.94445123687592,16.86575854023135,gentle,-2.0392369899667613,elevated_80_90,discharge,0,0,0,0,0,0.0,0.4166666666666667,2.0412414523193148,26.95555702326619,29.61191440544066,0.06,0.0
simulated,SIM000,25,3.833060365513899,-0.5158462538268762,24.07316496786577,83.50868338812525,1.9923800000000007,40.66904269989698,17.255443882677987,gentle,-1.9772698302426215,elevated_80_90,discharge,0,0,0,0,0,0.0,0.4,2.0,26.840261341050173,29.61191440544066,0.0625,0.0
simulated,SIM000,26,3.8252705527437567,-0.5996634774900864,25.49391632995244,82.956003657749,1.9920800000000007,84.38664166542215,18.678861556020163,gentle,-2.293875041998746,elevated_80_90,discharge,0,0,0,0,0,0.0,0.38461538461538464,1.9611613513818404,26.788478840623334,29.61191440544066,0.065,0.0
simulated,SIM000,27,3.805181552048932,-1.7334348855704549,28.739125341779133,81.71732837339977,1.9917800000000008,103.23275863808244,19.535519391614535,gentle,-6.596034448250746,elevated_80_90,discharge,0,0,0,0,0,0.0,0.37037037037037035,1.9245008972987527,26.86072500733281,29.61191440544066,0.0675,0.0
simulated,SIM000,28,3.8273146814499053,-1.7493478682147725,27.850927796682228,80.25064534452457,1.9914800000000008,103.972089944019,21.37086913675347,gentle,-6.695304778981493,elevated_80_90,discharge,0,0,0,0,0,0.0,0.35714285714285715,1.889822365046136,26.896089392666717,29.61191440544066,0.07,0.0
simulated,SIM000,29,3.806268690671928,-1.4952256324877427,30.751345935317776,79.21436980481225,1.9911800000000008,67.7692631539148,22.405854189526245,gentle,-5.691230510428225,normal_20_80,discharge,0,0,0,0,0,0.0,0.3448275862068966,1.8569533817705186,27.02902927344779,30.751345935317776,0.0725,0.0
simulated,SIM000,30,3.848755096852972,-1.2778965383699612,26.122489243537366,78.0042065716364,1.9908800000000009,60.85071938686698,23.073634532998582,gentle,-4.918310815302157,normal_20_80,discharge,0,0,0,0,0,0.0,0.3333333333333333,1.8257418583505536,26.998811272450776,30.751345935317776,0.075,0.0
simulated,SIM000,31,3.810249930427452,1.1916504956346776,26.783330156313248,78.7888718365735,1.990580000000001,0.0,23.073634532998582,gentle,4.540486218085869,normal_20_80,charge,0,0,0,0,0,0.0,0.3225806451612903,1.796053020267749,26.991860268704404,30.751345935317776,0.0775,0.0
simulated,SIM000,32,3.8117514326366893,0.7270801235069033,25.936416971039314,79.26979560921707,1.990280000000001,0.0,23.073634532998582,gentle,2.7714487024190997,normal_20_80,charge,0,0,0,0,0,0.0,0.3125,1.7677669529663687,26.95887766565237,30.751345935317776,0.08,0.0
simulated,SIM000,33,3.8222829105386196,1.1867157241664568,27.59895744728228,80.30495089676555,1.989980000000001,0.0,23.073634532998582,gentle,4.53596323214891,elevated_80_90,charge,0,0,0,0,0,0.0,0.30303030303030304,1.7407765595569782,26.978274022671457,30.751345935317776,0.0825,0.0
simulated,SIM000,34,3.804976092362245,-0.3652125930191879,26.142286800045486,80.059309139035,1.989680000000001,41.30703839939564,23.52770838624855,gentle,-1.3896251850676324,elevated_80_90,discharge,0,0,0,0,0,0.0,0.29411764705882354,1.7149858514250884,26.95368616318246,30.751345935317776,0.085,0.0
simulated,SIM000,35,3.8276361900029836,-0.45250785435557395,26.65104973812629,79.63694580967399,1.989380000000001,24.676567981859385,23.99898400914295,gentle,-1.7320354395919941,normal_20_80,discharge,0,0,0,0,0,0.0,0.2857142857142857,1.6903085094570331,26.945039408180854,30.751345935317776,0.0875,0.0
simulated,SIM000,36,3.8429411884978015,-1.4692163111569934,28.143986881142123,78.3778372594845,1.989080000000001,90.10967191203162,24.86535484870098,gentle,-5.646111876958011,normal_20_80,discharge,0,0,0,0,0,0.0,0.2777777777777778,1.6666666666666667,26.978343504652,30.751345935317776,0.09,0.0
simulated,SIM000,37,3.8236305972434876,1.2593449068556652,25.30831221427909,79.26767189230131,1.988780000000001,0.0,24.86535484870098,gentle,4.815269718336071,normal_20_80,charge,0,0,0,0,0,0.0,0.2702702702702703,1.643989873053573,26.93320752383111,30.751345935317776,0.0925,0.0
simulated,SIM000,38,3.812865755377546,0.849588674739371,25.543872886011506,79.88871970616584,1.9884800000000011,0.0,24.86535484870098,gentle,3.23936756407034,normal_20_80,charge,0,0,0,0,0,0.0,0.2631578947368421,1.6222142113076252,26.89664608599375,30.751345935317776,0.095,0.0
simulated,SIM000,39,3.810635579247121,-1.0213656424501178,28.02656692881822,79.14174957945364,1.9881800000000012,68.18913108470028,26.105219126205967,gentle,-3.8920522565410125,normal_20_80,discharge,0,0,0,0,0,0.0,0.2564102564102564,1.6012815380508714,26.925618415296942,30.751345935317776,0.0975,0.0
simulated,SIM000,40,3.8438116995797986,1.402339743465436,27.88720158742059,80.09668942761296,1.9878800000000012,0.0,26.105219126205967,gentle,5.390329912718177,elevated_80_90,charge,0,0,0,0,0,0.0,0.25,1.5811388300841898,26.949657994600035,30.751345935317776,0.1,0.0
simulated,SIM000,41,3.831474213861957,-0.42673982823528034,27.49310735136855,79.68088441100066,1.9875800000000012,32.3667137034022,26.73658246457543,gentle,-1.6350426479113573,normal_20_80,discharge,0,0,0,0,0,0.0,0.24390243902439024,1.5617376188860606,26.96291285696024,30.751345935317776,0.1025,0.0
simulated,SIM000,42,3.828624513602373,-0.6800750307587808,27.29191552114448,79.11232103947107,1.9872800000000013,28.55442778079611,27.17614899460991,gentle,-2.603751933851956,normal_20_80,discharge,0,0,0,0,0,0.0,0.23809523809523808,1.5430334996209192,26.970746253726535,30.751345935317776,0.105,0.0
simulated,SIM000,43,3.779498286340978,-1.4458850850098819,29.106194534113243,77.78254358251404,1.9869800000000013,64.29378940178862,28.1531009232956,gentle,-5.464720201040827,normal_20_80,discharge,0,0,0,0,0,0.0,0.23255813953488372,1.5249857033260468,27.020407841642506,30.751345935317776,0.1075,0.0
simulated,SIM000,44,3.813160445259633,-0.9279124511855692,27.459875074502406,76.93839511849963,1.9866800000000013,80.41082719777333,29.1183245984568,gentle,-3.5382790555247228,normal_20_80,discharge,0,0,0,0,0,0.0,0.22727272727272727,1.5075567228888183,27.03039573329841,30.751345935317776,0.11,0.0
simulated,SIM000,45,3.806667639535843,0.5364174729374995,25.248245255679247,77.29195503555863,1.9863800000000014,0.0,29.1183245984568,gentle,2.041963035512773,normal_20_80,charge,0,0,0,0,0,0.0,0.2222222222222222,1.4907119849998598,26.990792389351316,30.751345935317776,0.1125,0.0
simulated,SIM000,46,3.819786441377769,-1.7042099802576933,30.094536278650164,75.73751000999187,1.9860800000000014,63.14326077120863,29.908645457159047,gentle,-6.509718175849012,normal_20_80,discharge,0,0,0,0,0,0.0,0.21739130434782608,1.4744195615489715,27.058265082596943,30.751345935317776,0.115,0.0
simulated,SIM000,47,3.7676464453496368,-1.2556108259868113,28.208414309431188,74.92290904270376,1.9857800000000014,72.94321999722986,31.092744154327125,gentle,-4.730697665271731,normal_20_80,discharge,0,0,0,0,0,0.0,0.2127659574468085,1.4586499149789458,27.082736342742354,30.751345935317776,0.1175,0.0
simulated,SIM000,48,3.7980009396718852,-0.9634711906018398,24.241652097279303,74.2284669910193,1.9854800000000015,102.65977059639988,32.87651191644714,gentle,-3.6592644872525777,normal_20_80,discharge,0,0,0,0,0,0.0,0.20833333333333334,1.4433756729740645,27.023547087628543,30.751345935317776,0.12,0.0
simulated,SIM000,49,3.805677303272244,-0.4596292978070743,25.960224528662557,73.76900229005362,1.9851800000000015,79.91162624958832,34.13923549354996,gentle,-1.7492007865833417,normal_20_80,discharge,0,0,0,0,0,0.0,0.20408163265306123,1.4285714285714288,27.001846627241477,30.751345935317776,0.1225,0.0
simulated,SIM000,50,3.793740236792042,1.4651519110383278,29.053118461034977,74.76425315758736,1.9848800000000015,0.0,34.13923549354996,gentle,5.558405757918859,normal_20_80,charge,0,0,0,0,0,0.0,0.2,1.4142135623730951,27.042872063917354,30.751345935317776,0.125,0.0
simulated,SIM000,51,3.8250475202113337,2.987702730942046,46.010102999151,77.51471055419461,1.9836800000000014,0.0,34.13923549354996,gentle,11.428104922118504,normal_20_80,charge,0,1,1,0,0,45.0,0.9,6.363961030678928,27.401866916452573,46.010102999151,0.1275,5.7375
simulated,SIM000,52,3.832091067303594,-1.347181175967956,27.090982122275026,76.25483737805142,1.9833800000000015,23.613616959235976,34.3853220948848,gentle,-5.162520950466355,normal_20_80,discharge,0,0,0,0,0,0.0,0.9,6.363961030678928,27.410850437774325,46.010102999151,0.13,0.0
simulated,SIM000,53,3.775470679736573,-0.5328194886616363,27.898250121962356,75.77857751102846,1.9830800000000015,37.37373417820137,34.805743155488486,gentle,-2.0116443570342413,normal_20_80,discharge,0,0,0,0,0,0.0,0.9,6.363961030678928,27.42997762139945,46.010102999151,0.1325,0.0
simulated,SIM000,54,3.780332544150647,-0.36352582737025063,25.044731457211295,75.43189809411011,1.9827800000000015,83.86204565905587,35.65086578509939,gentle,-1.3742485158470483,normal_20_80,discharge,0,0,0,0,0,0.0,0.9,6.363961030678928,27.35246995085601,46.010102999151,0.135,0.0
simulated,SIM000,55,3.818911919955274,-1.2546125131616652,25.783129190398807,74.39186790595855,1.9824800000000016,33.061722919854475,36.290685948765564,gentle,-4.791254681438127,normal_20_80,discharge,0,0,0,0,0,0.0,0.9,6.363961030678928,27.330686553870574,46.010102999151,0.1375,0.0
simulated,SIM000,56,3.7990917913311653,-0.522658484880087,25.915678914066575,73.97199486620596,1.9821800000000016,56.363095166668934,37.062298116797564,gentle,-1.9856275595775226,normal_20_80,discharge,0,0,0,0,0,0.0,0.9,6.363961030678928,27.317688771303423,46.010102999151,0.14,0.0
simulated,SIM000,57,3.7693855188887886,-1.2164813205549425,25.016479582387866,72.93330028714516,1.9818800000000016,57.06298069270132,37.79871855450916,gentle,-4.585387073698511,normal_20_80,discharge,0,0,0,0,0,0.0,0.9,6.363961030678928,27.287832489827803,46.010102999151,0.1425,0.0
simulated,SIM000,58,3.5429826428446702,-3.0534388151623064,46.70213095070785,12.441953130587503,1.9805000000000017,70.91947103887289,38.96350180304993,gentle,-10.818280723108247,low_0_20,discharge,1,0,1,1,0,70.0,2.3,11.65884091273963,27.692788093962328,46.70213095070785,0.145,10.149999999999999
simulated,SIM000,59,3.5449435258000714,-1.2390187214115858,28.537574948811123,11.519797421981245,1.9800200000000017,66.14653201460824,40.07744037606919,gentle,-4.3922513948130835,low_0_20,discharge,0,0,0,1,0,15.0,2.6,11.790691589693342,27.74394041763875,46.70213095070785,0.1475,2.2125
simulated,SIM000,60,3.55052389469704,-0.7716760376163019,27.298407377957624,10.798316638073775,1.9795400000000016,64.47274818656811,40.6828575785272,gentle,-2.7398542105218118,low_0_20,discharge,0,0,0,1,0,15.0,2.9,11.91337783454262,27.71256358507545,46.70213095070785,0.15,2.25
simulated,SIM000,61,3.5050007998124695,0.5594916677873907,25.919160436372756,11.204259928737377,1.9790600000000016,0.0,40.6828575785272,gentle,1.9610187430832169,low_0_20,charge,0,0,0,1,0,15.0,3.2,12.027180102770965,27.688832830516667,46.70213095070785,0.1525,2.2875
simulated,SIM000,62,3.535730051797378,0.5304193485909522,22.894576824170848,11.649990489007688,1.9785800000000016,0.0,40.6828575785272,gentle,1.8754196308678188,low_0_20,charge,0,0,0,1,0,15.0,3.5,12.132348393902165,27.64185566184593,46.70213095070785,0.155,2.325
simulated,SIM000,63,3.559733334061698,-0.7664422648811493,26.554766882129478,10.979302906974013,1.9781000000000015,83.48657289356115,41.739305049128994,gentle,-2.7283300789311724,low_0_20,discharge,0,0,0,1,0,15.0,3.8,12.229105462304398,27.590057159764147,46.70213095070785,0.1575,2.3625
simulated,SIM000,64,3.5282149859984733,0.5488603018148004,25.396036771458693,11.49222477819106,1.9776200000000015,0.0,41.739305049128994,gentle,1.9364971420826238,low_0_20,charge,0,0,0,1,0,15.0,4.1,12.317649523992731,27.575702050138045,46.70213095070785,0.16,2.4
