battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration,aggressive_discharge_count,avg_soc,aging_budget,stress_norm,temp_norm,dd_norm,fc_norm,soc_norm,health_index,battery_state,remaining_health,consumed_life,equivalent_aging_factor,estimated_total_cycles,rul_cycles,replacement_policy,primary_causes,recommendation,guardian_report,guardian_status,twin_health_score,twin_confidence,failure_probability,digital_twin_state,digital_twin_report
B0005,13.6704536416787,26.36970063096213,1250087084.173,12770538.935,3581775.549,45284,,35,0.136704536416787,0.5273940126192426,0.0178825369039222,1.0,0,65,DEGRADED,35,65,0.5454250105355951,1833.4326088530893,642,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0005: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 642 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,43.56495565623801,100,30,MODERATE_RISK,Digital Twin predicts battery B0005 to be in MODERATE_RISK state with 30% probability of failure and 642 remaining useful cycles.
B0006,11.407560300139654,26.42915375710223,1027942388.029,19318002.412,4680506.022,44512,,35,0.1140756030013965,0.5285830751420446,0.0270509250080172,0.8222966232060859,0,65,DEGRADED,35,65,0.5209004472680275,1919.7526230678268,672,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0006: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 672 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,44.085476763807485,100,30,MODERATE_RISK,Digital Twin predicts battery B0006 to be in MODERATE_RISK state with 30% probability of failure and 672 remaining useful cycles.
B0007,0.0651789814323248,26.11936256471238,621335.363,14283397.64,4420739.468,195,,42,0.0006517898143232,0.5223872512942476,0.0200009871713919,0.0004970336633875,0,58,WARNING,42,58,0.3666715653073484,2727.2362915891454,1145,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0007: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1145 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,52.61669088633885,100,15,NORMAL,Digital Twin predicts battery B0007 to be in NORMAL state with 15% probability of failure and 1145 remaining useful cycles.
B0018,14.44942855508523,25.9131992338774,696253328.092,10542310.751,0.0,32084,,35,0.1444942855508523,0.518263984677548,0.0147623574867847,0.556963860283869,0,65,DEGRADED,35,65,0.4760630467093243,2100.5621144347765,735,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0018: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 735 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,44.073560057688624,100,30,MODERATE_RISK,Digital Twin predicts battery B0018 to be in MODERATE_RISK state with 30% probability of failure and 735 remaining useful cycles.
B0025,16.337940549366117,28.48235563388605,269370149.451,11554824.172,2827773.483,4349,,35,0.1633794054936611,0.5696471126777211,0.0161801761637339,0.2154811075655603,0,65,DEGRADED,35,65,0.4379699795370111,2283.2615172782494,799,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0025: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 799 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,43.93237011231121,100,30,MODERATE_RISK,Digital Twin predicts battery B0025 to be in MODERATE_RISK state with 30% probability of failure and 799 remaining useful cycles.
B0026,15.71466250480215,28.409643565947107,259092519.563,12040928.258,1326695.799,4245,,35,0.1571466250480215,0.5681928713189421,0.0168608658590777,0.2072595764273523,0,65,DEGRADED,35,65,0.4365093274656539,2290.901790818395,802,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0026: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 802 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,44.05183626768497,100,30,MODERATE_RISK,Digital Twin predicts battery B0026 to be in MODERATE_RISK state with 30% probability of failure and 802 remaining useful cycles.
B0027,0.9652699769496736,28.73978633827821,0.0,17679028.938,13512368.089,4380,,48,0.0096526997694967,0.5747957267655642,0.0247558767111103,0.0,0,52,WARNING,48,52,0.3566501070336131,2803.868498224657,1346,NORMAL,deep discharge events,Maintain SOC between 20 and 80 percent,Battery B0027: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1346 cycles. Main degradation contributors: deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent,Early degradation indicators detected,56.77275206663721,100,15,NORMAL,Digital Twin predicts battery B0027 to be in NORMAL state with 15% probability of failure and 1346 remaining useful cycles.
B0028,2.219207645024971,28.10658658350969,35827376.087,3311717.47,0.0,775,,35,0.0221920764502497,0.5621317316701938,0.0046373853268111,0.0286599042103548,0,65,DEGRADED,35,65,0.4057593956144639,2464.514711940668,863,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0028: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 863 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,46.48675944676561,100,30,MODERATE_RISK,Digital Twin predicts battery B0028 to be in MODERATE_RISK state with 30% probability of failure and 863 remaining useful cycles.
B0029,37.54696299112113,45.87414120408369,344796467.291,1562537.741,985901207.929,6220,,15,0.3754696299112112,0.9174828240816738,0.0021880156318715,0.2758179583297602,0,85,CRITICAL,15,85,0.6111810028962569,1636.176509513896,245,PLAN_SERVICE,"high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging",Immediate inspection and battery replacement,"Battery B0029: High risk of battery failure. Current state: CRITICAL. Estimated remaining life: 245 cycles. Main degradation contributors: high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Immediate inspection and battery replacement",High risk of battery failure,24.557972852369844,100,75,FAILURE_IMMINENT,Digital Twin predicts battery B0029 to be in FAILURE_IMMINENT state with 75% probability of failure and 245 remaining useful cycles.
B0030,36.69060350991519,46.02763988515561,329619709.906,1494574.316,985901207.929,5979,,15,0.3669060350991519,0.9205527977031122,0.0020928467073754,0.2636773982222696,0,85,CRITICAL,15,85,0.6101083785005936,1639.0530522750837,246,PLAN_SERVICE,"high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging",Immediate inspection and battery replacement,"Battery B0030: High risk of battery failure. Current state: CRITICAL. Estimated remaining life: 246 cycles. Main degradation contributors: high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Immediate inspection and battery replacement",High risk of battery failure,24.677311320408627,100,75,FAILURE_IMMINENT,Digital Twin predicts battery B0030 to be in FAILURE_IMMINENT state with 75% probability of failure and 246 remaining useful cycles.
