BEACON1 S INA219 not responding on I2C 0x40 - voltage and current refused*56
BEACON1 S LM35 ready on A0*3C
BEACON1 HELLO {"schema":"beacon.telemetry.v1","fields":["t","tc"],"cell_id":"RIG_01","device":"esp8266","firmware":"beacon-rig-reference/1.0","period_ms":1000,"capacity_ah":2.200}*50
BEACON1 S rig started*3D
BEACON1 S temperature channel available*76
BEACON1 D {"t":0.201,"tc":32.178}*75
BEACON1 D {"t":1.201,"tc":32.197}*75
BEACON1 D {"t":2.201,"tc":32.197}*76
BEACON1 D {"t":3.201,"tc":32.188}*79
BEACON1 D {"t":4.201,"tc":32.188}*7E
BEACON1 D {"t":5.201,"tc":32.188}*7F
BEACON1 D {"t":6.201,"tc":32.188}*7C
BEACON1 D {"t":7.201,"tc":32.168}*73
BEACON1 D {"t":8.201,"tc":32.168}*7C
BEACON1 D {"t":9.201,"tc":32.178}*7C
BEACON1 D {"t":10.201,"tc":32.178}*44
BEACON1 D {"t":11.201,"tc":32.178}*45
BEACON1 D {"t":12.201,"tc":32.139}*43
BEACON1 D {"t":13.201,"tc":32.148}*44
BEACON1 D {"t":14.201,"tc":32.148}*43
BEACON1 D {"t":15.201,"tc":32.051}*4B
BEACON1 D {"t":16.201,"tc":32.051}*48
BEACON1 D {"t":17.201,"tc":32.051}*49
BEACON1 D {"t":18.201,"tc":32.090}*4B
BEACON1 D {"t":19.201,"tc":32.021}*40
BEACON1 D {"t":20.201,"tc":32.061}*4E
BEACON1 D {"t":21.201,"tc":31.973}*46
BEACON1 D {"t":22.201,"tc":31.992}*4A
BEACON1 D {"t":23.201,"tc":31.924}*46
BEACON1 D {"t":24.201,"tc":32.021}*4E
BEACON1 D {"t":25.201,"tc":31.982}*4C
BEACON1 D {"t":26.201,"tc":32.002}*4D
BEACON1 D {"t":27.201,"tc":32.031}*4C
BEACON1 D {"t":28.201,"tc":31.992}*40
BEACON1 D {"t":29.201,"tc":32.031}*42
BEACON1 D {"t":30.201,"tc":31.953}*44
BEACON1 D {"t":31.201,"tc":31.963}*46
BEACON1 D {"t":32.201,"tc":31.943}*47
BEACON1 D {"t":33.201,"tc":31.943}*46
BEACON1 D {"t":34.201,"tc":32.031}*4E
BEACON1 D {"t":35.201,"tc":31.963}*42
BEACON1 D {"t":36.201,"tc":31.992}*4F
BEACON1 D {"t":37.201,"tc":31.943}*42
BEACON1 D {"t":38.201,"tc":31.953}*4C
BEACON1 D {"t":39.201,"tc":31.982}*41
BEACON1 D {"t":40.201,"tc":31.934}*42
BEACON1 D {"t":41.201,"tc":32.090}*47
BEACON1 D {"t":42.201,"tc":32.090}*44
BEACON1 D {"t":43.201,"tc":31.992}*4D
BEACON1 D {"t":44.201,"tc":32.080}*43
BEACON1 D {"t":45.201,"tc":32.119}*43
BEACON1 D {"t":46.201,"tc":32.109}*41
BEACON1 D {"t":47.201,"tc":32.148}*45
BEACON1 D {"t":48.201,"tc":32.158}*4B
BEACON1 D {"t":49.201,"tc":32.148}*4B
BEACON1 D {"t":50.201,"tc":32.158}*42
BEACON1 D {"t":51.201,"tc":32.178}*41
BEACON1 D {"t":52.201,"tc":32.168}*43
BEACON1 D {"t":53.201,"tc":32.158}*41
BEACON1 D {"t":54.201,"tc":32.158}*46
BEACON1 D {"t":55.201,"tc":32.158}*47
BEACON1 D {"t":56.201,"tc":32.178}*46
BEACON1 D {"t":57.201,"tc":32.148}*44
BEACON1 D {"t":58.201,"tc":32.178}*48
BEACON1 D {"t":59.201,"tc":32.188}*46
BEACON1 D {"t":60.201,"tc":32.178}*43
BEACON1 D {"t":61.201,"tc":32.178}*42
BEACON1 D {"t":62.201,"tc":32.178}*41
BEACON1 D {"t":63.201,"tc":32.178}*40
BEACON1 D {"t":64.201,"tc":32.168}*46
BEACON1 D {"t":65.201,"tc":32.188}*49
BEACON1 D {"t":66.201,"tc":32.168}*44
BEACON1 D {"t":67.201,"tc":32.178}*44
BEACON1 D {"t":68.201,"tc":32.188}*44
BEACON1 D {"t":69.201,"tc":32.188}*45
BEACON1 D {"t":70.201,"tc":32.178}*42
BEACON1 D {"t":71.201,"tc":32.158}*41
BEACON1 D {"t":72.201,"tc":32.168}*41
BEACON1 D {"t":73.201,"tc":32.168}*40
BEACON1 D {"t":74.201,"tc":32.168}*47
BEACON1 D {"t":75.201,"tc":32.168}*46
BEACON1 D {"t":76.201,"tc":32.178}*44
BEACON1 D {"t":77.201,"tc":32.168}*44
BEACON1 D {"t":78.201,"tc":32.178}*4A
BEACON1 D {"t":79.201,"tc":32.168}*4A
BEACON1 D {"t":80.201,"tc":32.178}*4D
BEACON1 D {"t":81.201,"tc":32.188}*43
BEACON1 D {"t":82.201,"tc":32.178}*4F
BEACON1 D {"t":83.201,"tc":32.188}*41
BEACON1 D {"t":84.201,"tc":32.178}*49
