cell_id,refusal_reason,cohort,delta_q_variance,ica_peak_height,ica_peak_voltage,ica_area
CS2_24,,CS2_Type6,-4.447850518898402,-1.7013258990378748,3.7815815815815816,0.3540956350026812
CS2_25,,CS2_Type6,-4.852707478519861,-1.7485334499838547,3.7815815815815816,0.4104818986332744
CS2_3,,CS2_Type3,-2.356656953940509,-3.011548826655428,3.741941941941942,0.8998081892594854
CS2_33,,CS2_Type1,-3.4645835214833323,-3.977334577888911,3.6780780780780784,1.0905199429415733
CS2_34,,CS2_Type1,-3.4388897981195075,-3.915840159053289,3.653853853853854,1.0884924544184644
CS2_35,,CS2_Type2,-3.233030167063128,-3.1319080609661967,3.58998998998999,1.0179057018212558
CS2_36,,CS2_Type2,-3.4521614345399496,-3.2184255582849914,3.594394394394395,1.0526466849727834
CS2_37,,CS2_Type2,-3.3031698696950715,-3.1529917303722925,3.592192192192192,1.024897862750174
CS2_38,,CS2_Type2,-2.683844978628521,-3.386797139037725,3.534934934934935,1.047739258297666
CS2_5,"cycle(s) [10, 100] absent; the Delta-Q feature is defined on two specific cycles and substituting the nearest available one changes what it measures",CS2_Type5,,,,
CS2_6,"cycle(s) [10, 100] absent; the Delta-Q feature is defined on two specific cycles and substituting the nearest available one changes what it measures",CS2_Type5,,,,
CS2_7,,CS2_Type4,-3.544478149186297,-3.83400294829633,3.684684684684685,1.0515291544494847
CS2_9,,CS2_Type3,-1.1310521149648145,-0.3802301740679894,3.697897897897898,0.2233375230733597
CX2_16,,CX2_Type1,-3.993215286529658,-3.438050627721566,3.662662662662663,1.2462170612434524
CX2_3,"cycle(s) [10, 100] absent; the Delta-Q feature is defined on two specific cycles and substituting the nearest available one changes what it measures",CX2_Type4,,,,
CX2_32,"cycle(s) [10, 100] absent; the Delta-Q feature is defined on two specific cycles and substituting the nearest available one changes what it measures",CX2_Type6,,,,
CX2_33,,CX2_Type1,-3.620056210764884,-3.9509102200184154,3.623023023023024,1.259616478253469
CX2_34,,CX2_Type2,-2.974705693364563,-3.606929356203551,3.497497497497497,1.2512994575472547
CX2_35,,CX2_Type1,-3.417773721089804,-4.0764104753358765,3.634034034034034,1.3028851152095278
CX2_36,,CX2_Type2,-3.022073134404995,-3.740286042710125,3.5063063063063065,1.26556556787815
CX2_37,,CX2_Type2,-3.0709806320949324,-3.8121469321968102,3.5063063063063065,1.2746493958213632
CX2_38,,CX2_Type2,-3.03103114687074,-3.695043770256405,3.5107107107107107,1.261136596015428
CX2_8,"cycle(s) [10, 100] absent; the Delta-Q feature is defined on two specific cycles and substituting the nearest available one changes what it measures",CX2_Type3,,,,
