cell_id,cohort,status,cycles_seen,cycles_kept,yield_fraction,curve_points,files_read,truncated_at_cycle,refused: no discharge samples (current never negative),refused: voltage span under 0.1 V,refused: fewer than 50 discharge samples in the cycle,refused: discharge segment shorter than 50 points
CS2_24,CS2_Type6,ok,134,133,0.9925,8918.0,2.0,134.0,1.0,,,
CS2_25,CS2_Type6,ok,196,195,0.9949,18698.0,2.0,196.0,1.0,,,
CS2_3,CS2_Type3,ok,138,136,0.9855,410196.0,38.0,138.0,1.0,1.0,,
CS2_33,CS2_Type1,ok,136,136,1.0,33661.0,6.0,136.0,,,,
CS2_34,CS2_Type1,ok,141,140,0.9929,34499.0,7.0,141.0,1.0,,,
CS2_35,CS2_Type2,ok,155,154,0.9935,18114.0,7.0,155.0,1.0,,,
CS2_36,CS2_Type2,ok,147,146,0.9932,17585.0,6.0,147.0,,,1.0,
CS2_37,CS2_Type2,ok,148,147,0.9932,17293.0,6.0,148.0,1.0,,,
CS2_38,CS2_Type2,ok,146,145,0.9932,17251.0,6.0,146.0,1.0,,,
CS2_5,CS2_Type5,ok,200,101,0.505,6817.0,2.0,200.0,99.0,,,
CS2_6,CS2_Type5,ok,139,2,0.0144,1026.0,2.0,139.0,,,136.0,1.0
CS2_7,CS2_Type4,ok,130,92,0.7077,10704.0,10.0,130.0,38.0,,,
CS2_9,CS2_Type3,ok,130,128,0.9846,277543.0,36.0,130.0,1.0,1.0,,
CX2_16,CX2_Type1,ok,147,146,0.9932,40484.0,3.0,147.0,1.0,,,
CX2_3,CX2_Type4,ok,961,14,0.0146,3202.0,4.0,961.0,947.0,,,
CX2_32,CX2_Type6,ok,115,9,0.0783,12445.0,10.0,,105.0,1.0,,
CX2_33,CX2_Type1,ok,145,144,0.9931,33461.0,4.0,145.0,1.0,,,
CX2_34,CX2_Type2,ok,151,148,0.9801,18054.0,5.0,151.0,3.0,,,
CX2_35,CX2_Type1,ok,142,140,0.9859,35096.0,5.0,142.0,2.0,,,
CX2_36,CX2_Type2,ok,145,144,0.9931,18357.0,4.0,145.0,1.0,,,
CX2_37,CX2_Type2,ok,145,144,0.9931,18505.0,4.0,145.0,1.0,,,
CX2_38,CX2_Type2,ok,144,143,0.9931,18364.0,4.0,144.0,1.0,,,
CX2_8,CX2_Type3,ok,32,1,0.0312,225.0,32.0,,31.0,,,
CS2_21,CS2_Type1,load failed: ValueError,0,0,,,,,,,,
CS2_8,CS2_Type1,load failed: ValueError,0,0,,,,,,,,
CX2_31,CX2_Type1,load failed: ValueError,0,0,,,,,,,,
CX2_4,CX2_Type5,load failed: ValueError,0,0,,,,,,,,
