battery_id,initial_capacity_ah,fade_rate_ah_per_cycle,fade_fit_r2,n_cycles_measured,cycles_to_eol,reached_eol_in_data,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration_x,aggressive_discharge_count,avg_soc,risk_score,risk_level,risk_reason,recommended_action,high_temp_duration_y,aging_budget,health_index,remaining_health,consumed_life,battery_state,equivalent_aging_factor,estimated_total_cycles,rul_cycles,replacement_policy
B0005,1.8460546215871638,0.0038666144884018662,0.9756281929050115,168,102.0,True,4.509293215183624,26.36972590506182,0,73763,1206,45284,57.73716862398695,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,1206,48.0,52.0,48.0,52.0,WARNING,0.46665890321531056,2142.892791951325,1029,NORMAL
B0006,2.024601402794158,0.005086615069899097,0.963696955769038,168,61.0,True,4.59225838739511,26.429182847810353,0,74583,1588,44512,55.7115005234565,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,1588,48.0,52.0,48.0,52.0,WARNING,0.4683658977351321,2135.0828590118977,1025,NORMAL
B0007,1.8841173315929292,0.003269481077145986,0.9763119207084012,168,125.0,True,2.523649385496396,26.119388191778555,0,72478,1436,195,60.57234343502469,45.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,1436,55.0,45.0,55.0,45.0,WARNING,0.43519809623327044,2297.8041693086593,1264,NORMAL
B0018,1.8459339649785411,0.003926143770029231,0.9400699809404715,132,77.0,True,5.4676079523064995,25.9131992338774,0,38021,0,32084,60.45642167340569,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,48.0,52.0,48.0,52.0,WARNING,0.4029301138973474,2481.8199620958717,1191,NORMAL
B0025,1.8475625915319098,0.00254168866039867,0.8798135774952295,28,,False,7.051451569316296,28.489918549851822,0,18368,439,4348,62.07386669858077,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,439,48.0,52.0,48.0,52.0,WARNING,0.3820270924054275,2617.615399220814,1256,NORMAL
B0026,1.813920618883673,-0.0003811443017099886,0.001464292722067394,28,6.0,True,6.682671891286724,28.41704398240538,0,18502,209,4244,61.5546780956531,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,209,48.0,52.0,48.0,52.0,WARNING,0.3818930867804081,2618.5339159465034,1257,NORMAL
B0027,1.8168019728816065,0.0010989556462126346,0.4894601530463927,28,,False,6.863152916650581,28.745773164025834,0,18458,2135,4379,60.88096627895229,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,2135,48.0,52.0,48.0,52.0,WARNING,0.38346108972330617,2607.8265221683105,1252,NORMAL
B0028,1.8023622538950397,0.002648102785836822,0.8874908682811519,28,,False,2.2840018530672124,28.112165572044415,0,12474,0,774,62.59679989406581,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,48.0,52.0,48.0,52.0,WARNING,0.370005608495623,2702.6617354959085,1297,NORMAL
B0029,1.7892154022130766,0.0050953268936741545,0.8648234288018537,40,,False,30.31480046493607,45.891492709962264,0,12703,108402,6219,65.59271128617068,72.0,HIGH,"high temperature, deep discharge, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.,108402,28.0,72.0,28.0,72.0,DEGRADED,0.5392959314359342,1854.2695053111024,519,MONITOR
B0030,1.73319823746379,0.0048874061845471045,0.8790441257650208,40,,False,29.001817309643734,46.04820503747353,0,12859,108402,5978,63.96838372899717,72.0,HIGH,"high temperature, deep discharge, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.,108402,28.0,72.0,28.0,72.0,DEGRADED,0.5403476817683056,1850.6602947336926,518,MONITOR
B0031,1.7711723525004694,0.00316849334511359,0.6754362999952911,40,,False,30.089481743879265,45.786546206862155,0,12758,108402,6285,65.41443810384935,72.0,HIGH,"high temperature, deep discharge, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.,108402,28.0,72.0,28.0,72.0,DEGRADED,0.538865752626939,1855.7497764982438,520,MONITOR
B0032,1.8245549030771269,0.005336497197504329,0.8269283271707437,40,,False,29.60655707459272,45.80350457119291,0,12716,108402,6243,64.43454573438437,72.0,HIGH,"high temperature, deep discharge, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.,108402,28.0,72.0,28.0,72.0,DEGRADED,0.5388783397999888,1855.7064297131744,520,MONITOR
B0033,0.6396934808078082,0.0017868467531202707,0.1288844223402725,197,1.0,True,5.483202134032844,27.24461804130097,0,72389,18341,21143,55.66694130478894,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,18341,48.0,52.0,48.0,52.0,WARNING,0.468671240392174,2133.6918372956306,1024,NORMAL
B0034,1.3511131269145613,0.0010600239917543744,0.34182738557109005,197,1.0,True,5.278452333112271,27.408197537854026,0,65463,20245,20982,55.612710524199976,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,20245,48.0,52.0,48.0,52.0,WARNING,0.4575822474884725,2185.399467502708,1049,NORMAL
B0036,1.535835443468762,0.0009280849059928786,0.2967425405568459,197,1.0,True,2.051282367356398,26.335826477273482,0,43809,0,3647,64.02837486250505,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,48.0,52.0,48.0,52.0,WARNING,0.4149937383552851,2409.674912116092,1157,NORMAL
