,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.03236439372875347,0.01192959764055402,-2.7129493134565137,0.006711561055783811,-0.05575658747302395,-0.008972199984482995
trailing_avg_temp,0.0042766896684100445,0.0007401086349000724,5.778462061839709,8.41315189167983e-09,0.002825445032921566,0.005727934303898523
trailing_deep_discharge_duration,1.2461242454399022e-05,8.308893758760625e-06,1.4997474773654793,0.133798143670543,-3.83128127203086e-06,2.8753766180828906e-05
trailing_aggressive_discharge_count,8.669138196944415e-05,7.065944991061013e-05,1.2268901340035296,0.2199721417192751,-5.1861450403853425e-05,0.00022524421434274173
ambient_x_aggressive,-3.1315273130021e-06,3.325276247447118e-06,-0.9417344845879307,0.346413854784837,-9.651907008715899e-06,3.388852382711699e-06
battery_age_factor,0.00886011520423375,0.009378669357122147,0.9447091977398043,0.3448929031011743,-0.009530081789456756,0.027250312197924256
cohort_COLD4C_2A,-0.009421951772860208,0.01182225526867865,-0.7969673770978623,0.4255408929592882,-0.032603662847426704,0.013759759301706285
cohort_COLD4C_2A_flagged,0.02030444663008804,0.02040829328719725,0.9949115462205576,0.3198695093163455,-0.019713227473281136,0.06032212073345722
cohort_COLD4C_multiload,-0.03686211424966391,0.01321499064324805,-2.789416598527666,0.0053177968849228985,-0.0627747754114048,-0.010949453087923021
cohort_ELEV43C_4A_CC_variedcutoff,-0.16024611629906355,0.03375392619936829,-4.74748079238446,2.168447752053129e-06,-0.22643262191944602,-0.09405961067868106
cohort_MIXED_24_44C_multiload,-0.1565845376587738,0.028670531390923047,-5.461515014275171,5.15637771126368e-08,-0.21280325058231497,-0.10036582473523264
cohort_RT_2A_CC_variedcutoff,-0.08846973443317088,0.01834529073988215,-4.822476552025428,1.4975207615958444e-06,-0.12444216269206435,-0.05249730617427741
cohort_RT_CC_mixed_current,-0.09292534892764574,0.017895465453460796,-5.192675718287894,2.229083659955377e-07,-0.12801573568203198,-0.05783496217325951
cohort_RT_SQWAVE_4A_variedcutoff,-0.10101039025102478,0.023235790195033818,-4.347189805174507,1.4305778477444955e-05,-0.14657237167072745,-0.055448408831322085
