held_out_battery,cohort,n_test_cycles,mae,r2
B0005,RT_2A_CC_variedcutoff,166,0.007813312062944168,-0.10577135894506462
B0006,RT_2A_CC_variedcutoff,166,0.012419679581232756,-0.016962365893033793
B0007,RT_2A_CC_variedcutoff,166,0.008202487319790865,-0.15313783555567628
B0018,RT_2A_CC_variedcutoff,130,0.014352128637748107,-0.03166808558439427
B0025,RT_SQWAVE_4A_variedcutoff,26,0.00759721546043366,-0.04422003411280895
B0026,RT_SQWAVE_4A_variedcutoff,26,0.05308469858680402,-0.0012361699587610797
B0027,RT_SQWAVE_4A_variedcutoff,26,0.009548471024091093,-0.12417881746347881
B0028,RT_SQWAVE_4A_variedcutoff,26,0.010320973020659926,-0.6026678961358913
B0029,ELEV43C_4A_CC_variedcutoff,38,0.008247760034311564,-0.013497345053238519
B0030,ELEV43C_4A_CC_variedcutoff,38,0.010332304143301352,-0.02821562792110255
B0031,ELEV43C_4A_CC_variedcutoff,38,0.010231516374305732,0.036430796728810555
B0032,ELEV43C_4A_CC_variedcutoff,38,0.011028090543435077,-0.027401702468884626
B0033,RT_CC_mixed_current,195,0.04196281103332876,-0.010427922770086973
B0034,RT_CC_mixed_current,195,0.030977415669672315,0.011196928842321485
B0036,RT_CC_mixed_current,195,0.021523521242131843,-0.011746524767938249
B0038,MIXED_24_44C_multiload,45,0.04864208681564747,0.051992835988831976
B0039,MIXED_24_44C_multiload,45,0.07478862557686147,0.04984749887200979
B0040,MIXED_24_44C_multiload,45,0.07640311075395946,0.03790213022885369
B0041,COLD4C_multiload,65,0.0449616519566119,0.005364514092719985
B0042,COLD4C_multiload,109,0.06474734561061973,0.018107064275010076
B0043,COLD4C_multiload,109,0.0558970414255945,0.025154579642714392
B0044,COLD4C_multiload,109,0.05475141894638542,0.0259694432113714
B0045,COLD4C_1A,68,0.011438110428912917,-0.10655589846760782
B0046,COLD4C_1A,67,0.013912913894920513,-0.037487023294921595
B0047,COLD4C_1A,67,0.015088780503141329,-0.07029243250958372
B0048,COLD4C_1A,67,0.015039597691559145,-0.046243515551799286
B0049,COLD4C_2A_flagged,22,0.13706941954108187,0.0021852660517538425
B0050,COLD4C_2A_flagged,18,0.6523200165292787,-0.0016269272793929535
B0051,COLD4C_2A_flagged,22,0.1290661120649247,0.0022867117855154273
B0053,COLD4C_2A,53,0.029753967392165223,-0.1644818984758547
B0054,COLD4C_2A,100,0.024919454760828977,-0.5927870977573984
B0055,COLD4C_2A,100,0.023099096607897534,-0.2864798936082942
B0056,COLD4C_2A,100,0.0296676585134368,-0.13953596981263083
