method,split,held_out,n_test,coverage,mean_width,n_quoted,n_refused,refusal_rate,nominal,error
age_linear,LOBO,B0005,166,1.0,1.5581949973876943,166.0,0.0,0.0,0.9,
age_linear,LOBO,B0006,166,1.0,1.5745539985679908,166.0,0.0,0.0,0.9,
age_linear,LOBO,B0007,166,1.0,1.5529962122787173,166.0,0.0,0.0,0.9,
age_linear,LOBO,B0018,130,1.0,1.5466275845873965,130.0,0.0,0.0,0.9,
age_linear,LOBO,B0025,26,1.0,1.5477647897818858,26.0,0.0,0.0,0.9,
age_linear,LOBO,B0026,26,1.0,1.5478690904274832,26.0,0.0,0.0,0.9,
age_linear,LOBO,B0027,26,1.0,1.547563417596756,26.0,0.0,0.0,0.9,
age_linear,LOBO,B0028,26,1.0,1.5476981403305552,26.0,0.0,0.0,0.9,
age_linear,LOBO,B0029,38,1.0,1.5486098551544027,38.0,0.0,0.0,0.9,
age_linear,LOBO,B0030,38,1.0,1.5486098551544027,38.0,0.0,0.0,0.9,
age_linear,LOBO,B0031,38,1.0,1.548068199819648,38.0,0.0,0.0,0.9,
age_linear,LOBO,B0032,38,1.0,1.548678986217204,38.0,0.0,0.0,0.9,
age_linear,LOBO,B0033,193,1.0,1.5271837530329297,193.0,0.0,0.0,0.9,
age_linear,LOBO,B0034,191,1.0,1.5124152624848362,191.0,0.0,0.0,0.9,
age_linear,LOBO,B0036,193,1.0,1.5124152624848362,193.0,0.0,0.0,0.9,
age_linear,LOBO,B0038,45,1.0,1.5649390167068138,45.0,0.0,0.0,0.9,
age_linear,LOBO,B0039,45,0.9777777777777777,1.5675701673773375,45.0,0.0,0.0,0.9,
age_linear,LOBO,B0040,45,1.0,1.5669900675132407,45.0,0.0,0.0,0.9,
age_linear,LOBO,B0041,63,0.36507936507936506,0.4169147551952499,63.0,0.0,0.0,0.9,
age_linear,LOBO,B0042,109,0.5779816513761468,0.3509386071095136,109.0,0.0,0.0,0.9,
age_linear,LOBO,B0043,109,0.5779816513761468,0.3501323104015743,109.0,0.0,0.0,0.9,
age_linear,LOBO,B0044,109,0.5779816513761468,0.3501323104015743,109.0,0.0,0.0,0.9,
age_linear,LOBO,B0045,67,1.0,1.576014240698202,67.0,0.0,0.0,0.9,
age_linear,LOBO,B0046,67,1.0,1.5744492298942068,67.0,0.0,0.0,0.9,
age_linear,LOBO,B0047,67,1.0,1.5751622106553005,67.0,0.0,0.0,0.9,
age_linear,LOBO,B0048,67,1.0,1.573189866554341,67.0,0.0,0.0,0.9,
age_linear,LOBO,B0049,21,1.0,1.5708672210679187,21.0,0.0,0.0,0.9,
age_linear,LOBO,B0051,21,1.0,1.5699379980147299,21.0,0.0,0.0,0.9,
age_linear,LOBO,B0053,53,1.0,1.5641599343670378,53.0,0.0,0.0,0.9,
age_linear,LOBO,B0054,100,1.0,1.5635951908984753,100.0,0.0,0.0,0.9,
age_linear,LOBO,B0055,99,1.0,1.5635951908984755,99.0,0.0,0.0,0.9,
age_linear,LOBO,B0056,100,1.0,1.5594891457768398,100.0,0.0,0.0,0.9,
age_linear,LOCO,COLD4C_1A,268,1.0,0.4830398347746882,268.0,0.0,0.0,0.9,
age_linear,LOCO,COLD4C_2A,352,1.0,0.5046665936547444,352.0,0.0,0.0,0.9,
age_linear,LOCO,COLD4C_2A_flagged,42,1.0,1.5826076960952231,42.0,0.0,0.0,0.9,
age_linear,LOCO,COLD4C_multiload,390,0.541025641025641,0.2170953557204447,390.0,0.0,0.0,0.9,
age_linear,LOCO,ELEV43C_4A_CC_variedcutoff,152,1.0,0.4465669482648816,152.0,0.0,0.0,0.9,
age_linear,LOCO,MIXED_24_44C_multiload,135,0.9925925925925926,1.580323331982792,135.0,0.0,0.0,0.9,
age_linear,LOCO,RT_2A_CC_variedcutoff,628,1.0,1.1462781322615478,628.0,0.0,0.0,0.9,
age_linear,LOCO,RT_CC_mixed_current,577,1.0,1.5235196740215036,577.0,0.0,0.0,0.9,
age_linear,LOCO,RT_SQWAVE_4A_variedcutoff,104,1.0,0.42199853764183604,104.0,0.0,0.0,0.9,
elasticnet,LOBO,B0005,166,0.9939759036144579,0.4064455780941183,166.0,0.0,0.0,0.9,
elasticnet,LOBO,B0006,166,0.9939759036144579,0.3930737520095792,166.0,0.0,0.0,0.9,
elasticnet,LOBO,B0007,166,0.9939759036144579,0.4053159301648241,166.0,0.0,0.0,0.9,
elasticnet,LOBO,B0018,130,0.9923076923076923,0.3896908310647454,130.0,0.0,0.0,0.9,
elasticnet,LOBO,B0025,26,1.0,0.3809669421092326,26.0,0.0,0.0,0.9,
elasticnet,LOBO,B0026,26,1.0,0.38115504963642644,26.0,0.0,0.0,0.9,
elasticnet,LOBO,B0027,26,0.9615384615384616,0.37977667910440477,26.0,0.0,0.0,0.9,
elasticnet,LOBO,B0028,26,0.9615384615384616,0.3846451305322625,26.0,0.0,0.0,0.9,
elasticnet,LOBO,B0029,38,1.0,0.3901688867027278,38.0,0.0,0.0,0.9,
elasticnet,LOBO,B0030,38,1.0,0.3901688867027278,38.0,0.0,0.0,0.9,
elasticnet,LOBO,B0031,38,1.0,0.38819366143922257,38.0,0.0,0.0,0.9,
elasticnet,LOBO,B0032,38,1.0,0.3891852873736255,38.0,0.0,0.0,0.9,
elasticnet,LOBO,B0033,193,0.9740932642487047,0.40590901942817875,193.0,0.0,0.0,0.9,
elasticnet,LOBO,B0034,191,0.9947643979057592,0.3946215704453458,191.0,0.0,0.0,0.9,
elasticnet,LOBO,B0036,193,1.0,0.39822228672920357,193.0,0.0,0.0,0.9,
elasticnet,LOBO,B0038,45,0.9111111111111111,0.39703098470272374,45.0,0.0,0.0,0.9,
elasticnet,LOBO,B0039,45,0.8222222222222222,0.39580538013382655,45.0,0.0,0.0,0.9,
elasticnet,LOBO,B0040,45,0.9555555555555556,0.39493261110266226,45.0,0.0,0.0,0.9,
elasticnet,LOBO,B0041,63,0.8253968253968254,0.3863215790451996,63.0,0.0,0.0,0.9,
elasticnet,LOBO,B0042,109,0.5688073394495413,0.3541635994721004,109.0,0.0,0.0,0.9,
elasticnet,LOBO,B0043,109,0.944954128440367,0.39817774633366565,109.0,0.0,0.0,0.9,
elasticnet,LOBO,B0044,109,0.963302752293578,0.4018023199108335,109.0,0.0,0.0,0.9,
elasticnet,LOBO,B0045,67,0.0,0.2972704265617195,67.0,0.0,0.0,0.9,
elasticnet,LOBO,B0046,67,0.9701492537313433,0.30603234687629227,67.0,0.0,0.0,0.9,
elasticnet,LOBO,B0047,67,0.9701492537313433,0.30794337163978164,67.0,0.0,0.0,0.9,
elasticnet,LOBO,B0048,67,0.9701492537313433,0.306905675852863,67.0,0.0,0.0,0.9,
elasticnet,LOBO,B0049,21,0.42857142857142855,0.2946977989483252,21.0,0.0,0.0,0.9,
elasticnet,LOBO,B0051,21,0.9523809523809523,0.2936035376853904,21.0,0.0,0.0,0.9,
elasticnet,LOBO,B0053,53,0.9811320754716981,0.2895843194123615,53.0,0.0,0.0,0.9,
elasticnet,LOBO,B0054,100,0.71,0.2888610292166442,100.0,0.0,0.0,0.9,
elasticnet,LOBO,B0055,99,0.9696969696969697,0.3085889108257403,99.0,0.0,0.0,0.9,
