dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
nasa,3,0,age_linear,10,414,0.5020741087075863,0.35596947507172916,0.07925838051188161,0.11708964960347945,-0.14610463363585713
nasa,3,0,svr_rbf,10,414,0.12358948366617462,-1.030011980143485,0.08500801373224683,0.20742515694563954,-1.1536014638096597
nasa,3,1,age_linear,9,521,0.15933891880703632,0.06742229002478906,0.18853890232504097,0.27400268359490837,-0.09191662878224727
nasa,3,1,svr_rbf,9,521,0.9525976445012236,0.23814784619142182,0.06012819565046128,0.3044652616252166,-0.7144497983098018
nasa,3,2,age_linear,11,1107,0.3655729661140048,-0.016834139932326186,0.11787871200719707,0.36814564043099035,-0.382407106046331
nasa,3,2,svr_rbf,11,1107,0.9344444883303397,-0.0075659657847670925,0.07263821159413485,0.2878117022892713,-0.9420104541151068
nasa,3,3,age_linear,10,1064,0.17104571259460538,0.0228661881790152,0.06442229474169653,0.06234673919678513,-0.14817952441559018
nasa,3,3,svr_rbf,10,1064,0.31928717646157073,-1.516668974135336,0.07922550813807637,0.18620039733443258,-1.8359561505969069
nasa,3,4,age_linear,11,833,0.5939040124951859,0.5951670919781096,0.027020623435204956,0.025352812221967336,0.0012630794829237013
nasa,3,4,svr_rbf,11,833,-0.8092219124847477,-0.8929064766002073,0.07275265231648943,0.09400829588320937,-0.08368456411545955
nasa,3,5,age_linear,9,805,0.013041543683118162,-0.759637053693548,0.1521415241183119,0.2753213131936746,-0.7726785973766661
nasa,3,5,svr_rbf,9,805,0.6099225752375286,-0.06133036909290834,0.08881618026263682,0.14711404330698638,-0.6712529443304369
nasa,3,6,age_linear,11,915,0.7902294509780726,-0.3056251142373805,0.03825237663253093,0.16871573840837997,-1.0958545652154532
nasa,3,6,svr_rbf,11,915,0.4187492612568512,-1.5921146405680533,0.08033590180638116,0.18130411070831512,-2.0108639018249046
nasa,3,7,age_linear,12,608,0.7848211106459908,0.7325903081472973,0.023298818042434034,0.02921135655470871,-0.052230802498693496
nasa,3,7,svr_rbf,12,608,0.15359296284053964,0.1454064462968525,0.037258933451675996,0.04253611539557723,-0.008186516543687128
nasa,3,8,age_linear,10,566,0.18081868114624478,0.07053368035787266,0.26040063477190767,0.2784986624579735,-0.11028500078837211
nasa,3,8,svr_rbf,10,566,0.8612488098430806,0.2252584565755238,0.08296108710050959,0.3636109921442031,-0.6359903532675568
nasa,3,9,age_linear,12,524,0.8246718580399205,0.7572110750001679,0.027168910824507897,0.035712856186207224,-0.06746078303975256
nasa,3,9,svr_rbf,12,524,0.38508145562299606,0.19318565326272885,0.05281429829999774,0.07329741691893274,-0.1918958023602672
nasa,3,10,age_linear,11,1107,0.3655729661140048,-0.016834139932326186,0.11787871200719707,0.36814564043099035,-0.382407106046331
nasa,3,10,svr_rbf,11,1107,0.9344444883303397,-0.0075659657847670925,0.07263821159413485,0.2878117022892713,-0.9420104541151068
nasa,3,11,age_linear,10,1172,0.008062782672149327,-0.10025221113990423,0.13541445512054084,0.3855474576745772,-0.10831499381205356
nasa,3,11,svr_rbf,10,1172,0.7626615964694115,-0.7226964125134305,0.061726752298932264,0.29095130619769277,-1.485358008982842
nasa,4,0,age_linear,13,1149,0.018685785332468674,-0.49492136280776194,0.15014567632164968,0.29660746271489624,-0.5136071481402307
nasa,4,0,svr_rbf,13,1149,0.9177279489936342,-0.02902676651691255,0.06587530113335568,0.23053934377537771,-0.9467547155105467
nasa,4,1,age_linear,15,1661,0.6974969804963742,0.5193547076126566,0.0343871827299828,0.054776033765384605,-0.17814227288371765
nasa,4,1,svr_rbf,15,1661,0.4418530403473919,0.12716599263455436,0.05634587937188224,0.08304099719328904,-0.31468704771283756
nasa,4,2,age_linear,14,1608,0.09193238911744012,-0.08263158527793607,0.0710212249960911,0.10659617645377142,-0.1745639743953762
nasa,4,2,svr_rbf,14,1608,0.34270479860941183,-0.6803949401957496,0.07492966395082297,0.13441442997633934,-1.0230997388051615
nasa,4,3,age_linear,12,906,-0.027278881840847924,-0.13730324479323042,0.09085611005897905,0.22499383758512867,-0.11002436295238249
nasa,4,3,svr_rbf,12,906,0.04290041949300827,-1.1343728547354894,0.08854421315290037,0.1812432169445956,-1.1772732742284977
nasa,4,4,age_linear,15,1183,0.6716572571296469,0.5297666836327726,0.047311266382413904,0.05228662957057775,-0.14189057349687428
nasa,4,4,svr_rbf,15,1183,0.4562177743680278,-0.4170623670718847,0.07335488809221376,0.11951916534005663,-0.8732801414399125
nasa,4,5,age_linear,14,650,0.5204112053117849,0.2952870028572742,0.040394649288651746,0.05164965360358921,-0.22512420245451065
nasa,4,5,svr_rbf,14,650,-0.25299852667249123,-1.1828379996343428,0.06393282081452485,0.11747710458641246,-0.9298394729618515
nasa,4,6,age_linear,12,1050,-0.0033674231265790056,-0.15479621317679104,0.19466233411941403,0.309101831525382,-0.15142879005021204
nasa,4,6,svr_rbf,12,1050,0.7750077715837695,0.2200075036891772,0.07396931900609534,0.20296325504375143,-0.5550002678945923
nasa,4,7,age_linear,14,1242,0.08662052512298485,-0.0047199487743210256,0.15358648597598962,0.28061212623798204,-0.09134047389730587
nasa,4,7,svr_rbf,14,1242,0.7986981346173849,0.3613968069373933,0.07115491793678544,0.13126519907609746,-0.43730132767999164
nasa,4,8,age_linear,15,659,0.46603005768238637,0.051442577291845815,0.0593898320292558,0.10378485987988453,-0.41458748039054055
nasa,4,8,svr_rbf,15,659,0.17584536884048008,-2.0730147748690175,0.07110036285778684,0.16433141888952785,-2.2488601437094977
nasa,4,9,age_linear,13,681,-0.01996115868341164,-0.16234504303202713,0.06303487778342405,0.1679458636440414,-0.14238388434861549
nasa,4,9,svr_rbf,13,681,0.4054476954799988,-0.41269579881671575,0.08568108427206936,0.14075037622214961,-0.8181434942967145
nasa,4,10,age_linear,15,1459,0.49029223808354916,0.2235931015146968,0.07480898816011027,0.15502170862748008,-0.26669913656885236
nasa,4,10,svr_rbf,15,1459,0.8888146289563724,-0.9891905470165908,0.04957837579196777,0.3357967613527575,-1.8780051759729632
nasa,4,11,age_linear,14,1492,0.454671935221459,0.029576099355655194,0.05416027172460165,0.10309782154486706,-0.4250958358658038
nasa,4,11,svr_rbf,14,1492,0.2422261917271174,-0.5148040308939322,0.08399725368340703,0.13843669288179128,-0.7570302226210497
nasa,5,0,age_linear,18,1712,0.2780598069799606,-0.08225215705134703,0.06257351073591606,0.08259827477146114,-0.3603119640313076
nasa,5,0,svr_rbf,18,1712,0.4691112199611373,-0.6848355687881318,0.06467714669000692,0.12949817687282683,-1.1539467887492691
nasa,5,1,age_linear,15,1233,0.0008247429502175052,-0.06080696129115637,0.18866423260701454,0.22882464962328405,-0.061631704241373875
nasa,5,1,svr_rbf,15,1233,0.7103128864527716,0.2657670761619596,0.0718864519028822,0.17511866057203557,-0.44454581029081197
nasa,5,2,age_linear,17,1543,0.05765591480523857,0.0005258857094893044,0.1158027947868994,0.2072510945220905,-0.05713002909574927
nasa,5,2,svr_rbf,17,1543,0.7398446333201252,0.01901655754569298,0.06602893303118211,0.321223533811642,-0.7208280757744322
nasa,5,3,age_linear,16,1484,0.05224205354031153,-0.033683739869380114,0.16014122997391403,0.21729271841921008,-0.08592579340969164
nasa,5,3,svr_rbf,16,1484,0.6628657991380285,-0.06915003761614291,0.08392350968457712,0.21044629489112465,-0.7320158367541714
nasa,5,4,age_linear,15,1349,0.0011476809197876747,-0.06897303062514015,0.19182647873689307,0.2320435715505421,-0.07012071154492783
nasa,5,4,svr_rbf,15,1349,0.6526212167875961,-0.04342263667955493,0.07792791450548216,0.2587023515451686,-0.696043853467151
nasa,5,5,age_linear,16,1126,0.021541430783744597,-0.06489868713312652,0.08917467481204217,0.11516564179417083,-0.08644011791687112
nasa,5,5,svr_rbf,16,1126,0.32255702591521274,-0.008299970429372472,0.09118446276644193,0.11001413954532303,-0.3308569963445852
nasa,5,6,age_linear,19,1287,0.7706409470913451,0.7505269376968678,0.049286473783910385,0.05451680444607094,-0.020114009394477272
nasa,5,6,svr_rbf,19,1287,0.48298054660897405,-0.05556320020859862,0.07177813975623668,0.11388448809293517,-0.5385437468175727
nasa,5,7,age_linear,19,1535,0.6379617999894729,0.5553678465699421,0.038004873592397785,0.05364210767389778,-0.0825939534195308
nasa,5,7,svr_rbf,19,1535,0.33920486042148834,-0.028984481554871877,0.0672401144524645,0.08899967337543259,-0.3681893419763602
nasa,5,8,age_linear,19,1371,0.8423011698494924,0.6214050866452482,0.03178016883702242,0.0418481572164247,-0.22089608320424425
nasa,5,8,svr_rbf,19,1371,0.44812090696259466,-0.028377504638117168,0.072372965382596,0.12425048855334278,-0.4764984116007118
nasa,5,9,age_linear,16,1374,0.028645255601090935,-0.0041908852820495834,0.07229812886491338,0.07256908695640926,-0.03283614088314052
nasa,5,9,svr_rbf,16,1374,0.07798184839970795,-0.9314802971546257,0.07936764404738722,0.1660531092507846,-1.0094621455543336
nasa,5,10,age_linear,19,1563,0.72972096575299,0.41749898695990006,0.07483505205354789,0.09191236510562936,-0.3122219787930899
nasa,5,10,svr_rbf,19,1563,0.8836455381459645,-0.003288288215716584,0.04871025962313731,0.28331994304260727,-0.886933826361681
nasa,5,11,age_linear,17,1417,0.6285806770411012,0.02792733979142259,0.09658107292097969,0.236843735134132,-0.6006533372496786
nasa,5,11,svr_rbf,17,1417,0.8761333666516484,0.1352123157454972,0.05692528461348871,0.11293212482621791,-0.7409210509061512
nasa,6,0,age_linear,21,1855,0.7095264743282177,0.5354214447943496,0.03819737833486761,0.06200859338903002,-0.17410502953386808
nasa,6,0,svr_rbf,21,1855,0.41762277530831016,-0.43605847490794214,0.06458368539230686,0.14457566780249365,-0.8536812502162523
nasa,6,1,age_linear,19,2061,0.05973117651268112,-0.025218827358180818,0.12218162300514453,0.1966709139141721,-0.08495000387086193
nasa,6,1,svr_rbf,19,2061,0.6247180642278589,-0.2519949046721913,0.07491656176096084,0.19714753793598472,-0.8767129689000502
nasa,6,2,age_linear,19,1977,0.04963305609055291,-0.014729063766165007,0.1300241428690612,0.2087533781802613,-0.06436211985671791
nasa,6,2,svr_rbf,19,1977,0.6437733242122292,0.09216662516390445,0.07172627691730132,0.12304101225410188,-0.5516066990483248
nasa,6,3,age_linear,22,1546,0.7741089594860894,0.6800181502519551,0.040021295068155535,0.04574749620448433,-0.09409080923413427
nasa,6,3,svr_rbf,22,1546,0.43520664588238916,-0.23966412969498097,0.05894730938124218,0.13079652147617885,-0.6748707755773702
nasa,6,4,age_linear,20,1752,0.10610072934300036,-0.020267312662815562,0.11995707027806757,0.19509234085139165,-0.12636804200581592
nasa,6,4,svr_rbf,20,1752,0.5863765578943596,-0.25516758208723134,0.07986078293424533,0.20201871813361094,-0.8415441399815909
nasa,6,5,age_linear,19,1977,0.04963305609055291,-0.014729063766165007,0.1300241428690612,0.2087533781802613,-0.06436211985671791
nasa,6,5,svr_rbf,19,1977,0.6437733242122292,0.09216662516390445,0.07172627691730132,0.12304101225410188,-0.5516066990483248
nasa,6,6,age_linear,22,2140,0.6324567770001608,0.5264378055012559,0.07676435246581328,0.08077507856691477,-0.10601897149890493
nasa,6,6,svr_rbf,22,2140,0.8371149232691137,-1.1448333473297496,0.0465738632364808,0.2199179438803615,-1.9819482705988634
nasa,6,7,age_linear,20,1802,0.2106225838684087,-0.012256319411166283,0.0635519015447038,0.10705968494022305,-0.222878903279575
