dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
calce_full_discharge,3,0,age_linear,8,1600,0.788659545377516,0.7200347192479413,0.017739765260738807,0.021443473214317717,-0.06862482612957477
calce_full_discharge,3,0,svr_rbf,8,1600,0.3008868035605149,0.19760543325108426,0.03348986823219729,0.03624629517041534,-0.10328137030943063
calce_full_discharge,3,1,age_linear,8,1339,0.75742010933352,-0.1218893986294236,0.020607315828451538,0.056253254911084405,-0.8793095079629436
calce_full_discharge,3,1,svr_rbf,8,1339,0.3395208035371608,0.027249545286995303,0.03678957762448414,0.049370445724101784,-0.3122712582501655
calce_full_discharge,3,2,age_linear,6,620,0.10563966955560206,-0.9812939064842334,0.05401034387379093,0.07561809926031744,-1.0869335760398355
calce_full_discharge,3,2,svr_rbf,6,620,0.07722633825092295,0.03365582807450307,0.05110002028751553,0.05334680886494539,-0.043570510176419885
calce_full_discharge,3,3,age_linear,9,1481,0.58130084673443,0.12162985352784539,0.02394985131001756,0.04780354466734148,-0.45967099320658467
calce_full_discharge,3,3,svr_rbf,9,1481,0.22404942878083522,-0.01312823248674655,0.042989823321827186,0.0487530224026499,-0.23717766126758177
calce_full_discharge,3,4,age_linear,9,1539,0.756797604325422,0.2357544011281545,0.022378452802928453,0.044165248849837795,-0.5210432031972675
calce_full_discharge,3,4,svr_rbf,9,1539,0.45313289289112757,-0.02116302906069789,0.03527654533353171,0.05455571537450813,-0.47429592195182546
calce_full_discharge,3,5,age_linear,8,1020,0.620157470579477,-1.3433631966944728,0.02682152432137614,0.07859853694977105,-1.9635206672739498
calce_full_discharge,3,5,svr_rbf,8,1020,0.4989743826382102,0.04227385825366514,0.0263566253266894,0.04665626996450999,-0.45670052438454506
calce_full_discharge,3,6,age_linear,7,820,-0.199177752738952,-1.3634471172466331,0.060097796106390364,0.07976227536277,-1.1642693645076811
calce_full_discharge,3,6,svr_rbf,7,820,0.2983710461611202,0.02353008955551139,0.042881267870919705,0.0595826744927124,-0.2748409566056088
calce_full_discharge,3,7,age_linear,6,939,0.519536178013398,0.010768001185229803,0.03090057173412442,0.04915439531523336,-0.5087681768281682
calce_full_discharge,3,7,svr_rbf,6,939,0.022468255763168965,0.015245125576082152,0.04856162581004071,0.045195009010572794,-0.0072231301870868125
calce_full_discharge,3,8,age_linear,8,1281,0.5893245242729601,0.1493408092529812,0.02834889514876812,0.049383526031083314,-0.4399837150199789
calce_full_discharge,3,8,svr_rbf,8,1281,0.2463614830312374,0.004756664573659086,0.039088262503552997,0.04768011071628164,-0.2416048184575783
calce_full_discharge,3,9,age_linear,8,1339,0.8466705105905505,0.7629674862996918,0.015355549383654084,0.02359589146143867,-0.08370302429085874
calce_full_discharge,3,9,svr_rbf,8,1339,0.4634951148215485,0.04585898772425756,0.033948091431680885,0.045883432112879353,-0.4176361270972909
calce_full_discharge,3,10,age_linear,6,620,0.10563966955560206,-0.9812939064842334,0.05401034387379093,0.07561809926031744,-1.0869335760398355
calce_full_discharge,3,10,svr_rbf,6,620,0.07722633825092295,0.03365582807450307,0.05110002028751553,0.05334680886494539,-0.043570510176419885
calce_full_discharge,3,11,age_linear,7,1400,0.6456548066690746,-0.0629109498028726,0.029306424808919512,0.04445067670415785,-0.7085657564719472
calce_full_discharge,3,11,svr_rbf,7,1400,0.15039228754109213,0.08004494209135848,0.045149580577518555,0.046021587027473984,-0.07034734544973364
calce_full_discharge,4,0,age_linear,12,2081,0.7481520958145809,0.5994364935465217,0.017489129216850176,0.02532618482426887,-0.14871560226805913
calce_full_discharge,4,0,svr_rbf,12,2081,0.33060768305872884,0.14244728781749316,0.03688414028804543,0.04319898094037648,-0.18816039524123568
calce_full_discharge,4,1,age_linear,11,1881,0.6410501563926567,0.2938118984887706,0.023082389309456372,0.03709346481076885,-0.3472382579038861
calce_full_discharge,4,1,svr_rbf,11,1881,0.20102064762053906,0.05446111754661237,0.038709104942522464,0.04410595024152252,-0.1465595300739267
calce_full_discharge,4,2,age_linear,11,1939,0.7836500001380424,0.44114396080863877,0.020930509258385434,0.03533684959241813,-0.34250603932940366
calce_full_discharge,4,2,svr_rbf,11,1939,0.41858650587658486,0.09158142625993804,0.03408939783104532,0.04750238560261845,-0.3270050796166468
calce_full_discharge,4,3,age_linear,9,1220,0.24065355290078938,-0.4931937887467551,0.0395849660087866,0.06475356486125367,-0.7338473416475445
calce_full_discharge,4,3,svr_rbf,9,1220,0.21558576561299525,0.0901668901846156,0.04066821511287059,0.043738207002239876,-0.12541887542837965
calce_full_discharge,4,4,age_linear,9,1481,0.25105398665534273,-0.12992164533641554,0.037789457299041505,0.05149649485866757,-0.38097563199175827
calce_full_discharge,4,4,svr_rbf,9,1481,0.08234505877131382,0.06833636406151389,0.04653375042882713,0.047465730992403435,-0.01400869470979993
calce_full_discharge,4,5,age_linear,13,2600,0.797362469069366,0.4740777393293422,0.019001422487921752,0.02823681878227193,-0.3232847297400238
calce_full_discharge,4,5,svr_rbf,13,2600,0.3902098803562857,0.2196407603318538,0.0348072516700474,0.04196992208409134,-0.17056912002443186
calce_full_discharge,4,6,age_linear,13,2600,0.797362469069366,0.4740777393293422,0.019001422487921752,0.02823681878227193,-0.3232847297400238
calce_full_discharge,4,6,svr_rbf,13,2600,0.3902098803562857,0.2196407603318538,0.0348072516700474,0.04196992208409134,-0.17056912002443186
calce_full_discharge,4,7,age_linear,9,1220,0.24065355290078938,-0.4931937887467551,0.0395849660087866,0.06475356486125367,-0.7338473416475445
calce_full_discharge,4,7,svr_rbf,9,1220,0.21558576561299525,0.0901668901846156,0.04066821511287059,0.043738207002239876,-0.12541887542837965
calce_full_discharge,4,8,age_linear,9,1220,0.5479241563467496,0.10740668140397103,0.03686855594879146,0.04933381387746833,-0.4405174749427786
calce_full_discharge,4,8,svr_rbf,9,1220,0.37138860772939897,0.10152130853145808,0.0400904560879682,0.047986802814243376,-0.2698672991979409
calce_full_discharge,4,9,age_linear,9,1539,0.601188818849006,-0.010289164099951342,0.03216628435752682,0.04848893522890918,-0.6114779829489574
calce_full_discharge,4,9,svr_rbf,9,1539,0.1432602218097485,0.04789906985929265,0.04455790041400513,0.044953006716823084,-0.09536115195045586
calce_full_discharge,4,10,age_linear,8,1020,0.4236120148243058,-0.03067808995802601,0.03577756648425434,0.05190701724650987,-0.45429010478233184
calce_full_discharge,4,10,svr_rbf,8,1020,0.2105528014769837,0.22917374854992356,0.0438190289869147,0.03933599821148648,0.018620947072939875
calce_full_discharge,4,11,age_linear,11,1620,0.7191610514584639,0.07374206499526037,0.025860210166397817,0.05095087352244526,-0.6454189864632035
calce_full_discharge,4,11,svr_rbf,11,1620,0.44471879534077297,-0.019431907641373425,0.03701140205092591,0.05261420812922051,-0.4641507029821464
calce_full_discharge,5,0,age_linear,13,2020,0.7384874448303793,0.23083208070973948,0.024229245860625737,0.043856102469582124,-0.5076553641206398
calce_full_discharge,5,0,svr_rbf,13,2020,0.42469714285291027,0.03573756200748113,0.03652399209491321,0.04537292202499116,-0.38895958084542914
calce_full_discharge,5,1,age_linear,15,2739,0.7722400958507639,0.30872915499366405,0.019551781164378963,0.035904262083417626,-0.4635109408570999
calce_full_discharge,5,1,svr_rbf,15,2739,0.41609107977607707,0.06352205802345823,0.032842951730206044,0.04837350379554087,-0.35256902175261884
calce_full_discharge,5,2,age_linear,13,2020,0.6030028794468706,-0.06043897550688082,0.032188959884075434,0.05469271625338727,-0.6634418549537514
calce_full_discharge,5,2,svr_rbf,13,2020,0.5022582702048217,0.07459056674011022,0.03341031106675212,0.04638205950556745,-0.4276677034647115
calce_full_discharge,5,3,age_linear,12,1820,0.6520100906265713,0.4476882054465048,0.027492330953441994,0.031513813602734385,-0.20432188518006655
calce_full_discharge,5,3,svr_rbf,12,1820,0.28685893235472965,0.24902984174624898,0.03465297389419131,0.037697947570232176,-0.037829090608480664
