dataset,n_cohorts,n_points,n_cells,n_rows,median_lobo_r2,median_loco_r2,median_gap,worst_gap
calce,3,24,8.0,1600.0,0.5761067829705713,-0.1980753366299156,-0.6681596159564104,-3.14263770063285
calce,4,24,11.0,2200.0,0.5667939639706634,0.046047181708176066,-0.3471685400231266,-1.7683076700177547
calce,5,24,13.0,2600.0,0.577447930868195,0.05930206803648347,-0.20603924136590318,-1.0648280391635885
calce,6,2,17.0,3400.0,0.5452459006077977,0.4206167235433187,-0.12462917706447904,-0.20414897604004945
nasa,3,24,10.5,819.0,0.40191535843992365,-0.0075659657847670925,-0.382407106046331,-2.0108639018249046
nasa,4,24,14.0,1166.0,0.42365036791369537,-0.10996741503558324,-0.4311985817728977,-2.2488601437094977
nasa,5,24,17.0,1395.5,0.4760458832850557,-0.01833873753374482,-0.3642506530038339,-1.1539467887492691
nasa,6,24,20.0,1900.5,0.43990263145205705,-0.014729063766165007,-0.3807591928192539,-1.9819482705988634
nasa,7,24,24.0,1873.0,0.6359979081108664,0.006584635689354912,-0.29995702213090225,-1.6545432364430217
nasa,8,24,28.0,2383.5,0.5439737250714879,0.14564855224872025,-0.37846238248242314,-1.8189510213656679
nasa,9,2,31.0,2585.0,0.5668007203449215,0.2468556689851063,-0.3199450513598152,-0.5635174188194052
