held_out_battery,cohort,n_test_cycles,mae,spearman_rho
B0005,RT_2A_CC_variedcutoff,166,0.006984710690003719,-0.02643519095434542
B0006,RT_2A_CC_variedcutoff,166,0.011932297604168715,0.04848266227676083
B0007,RT_2A_CC_variedcutoff,166,0.006598718043412272,-0.04039194338595537
B0018,RT_2A_CC_variedcutoff,130,0.013191961388364289,-0.04093187125319204
B0025,RT_SQWAVE_4A_variedcutoff,26,0.00780782114011711,-0.07213675213675212
B0026,RT_SQWAVE_4A_variedcutoff,26,0.053305650645201215,0.037948717948717944
B0027,RT_SQWAVE_4A_variedcutoff,26,0.009113670497405572,0.009914529914529914
B0028,RT_SQWAVE_4A_variedcutoff,26,0.007298267512143769,-0.1152136752136752
B0029,ELEV43C_4A_CC_variedcutoff,38,0.00828529716579185,0.004923952292373345
B0030,ELEV43C_4A_CC_variedcutoff,38,0.009890319615805597,-0.1003392056023635
B0031,ELEV43C_4A_CC_variedcutoff,38,0.009937102432219009,0.12200459568880621
B0032,ELEV43C_4A_CC_variedcutoff,38,0.010658755785241185,0.14279461647882702
B0033,RT_CC_mixed_current,195,0.04199576410367028,0.15079059379501203
B0034,RT_CC_mixed_current,195,0.031039681861377,0.23933709883636242
B0036,RT_CC_mixed_current,195,0.01894234965634645,0.12674424250271082
B0038,MIXED_24_44C_multiload,45,0.04458986372019613,-0.08827404479578392
B0039,MIXED_24_44C_multiload,45,0.0711667649740082,0.34505928853754936
B0040,MIXED_24_44C_multiload,45,0.07286748734752121,0.025691699604743077
B0041,COLD4C_multiload,65,0.047616754202394855,0.49838286713286717
B0042,COLD4C_multiload,109,0.056648505811619676,0.006245945695486981
B0043,COLD4C_multiload,109,0.06021414339353669,0.3084885552775461
B0044,COLD4C_multiload,109,0.058835554995183725,0.2300157538689649
B0045,COLD4C_1A,68,0.010793555798336745,0.23800435164331793
B0046,COLD4C_1A,67,0.013387661866406433,0.04421741559581771
B0047,COLD4C_1A,67,0.014322064869884313,0.13404900630537156
B0048,COLD4C_1A,67,0.014310196713159603,0.06461010455742677
B0049,COLD4C_2A_flagged,22,0.13314127076355675,0.1925465838509317
B0050,COLD4C_2A_flagged,18,0.651739574340761,0.09391124871001032
B0051,COLD4C_2A_flagged,22,0.13745975368635718,0.3359683794466404
B0053,COLD4C_2A,53,0.027272081163442177,-0.09966134494436381
B0054,COLD4C_2A,100,0.01907132262057293,-0.04061206120612061
B0055,COLD4C_2A,100,0.018527326227880572,0.05153315331533153
B0056,COLD4C_2A,100,0.02667511110805375,0.07308730873087309
