split,held_out,n_test,mae,r2_vs_global_mean,r2_vs_own_mean_oracle,spearman_rho
LOBO,B0005,166,0.006984710690003682,-0.015409212525044236,-0.015589090195055277,-0.02643519095434542
LOBO,B0006,166,0.011932297604168682,0.013094870851694584,0.004016024866877577,0.04848266227676083
LOBO,B0007,166,0.006598718043412252,-0.021730163385353496,-0.02234365839902952,-0.04039194338595537
LOBO,B0018,130,0.013191961388364218,-0.008607626025732396,-0.010352142903537587,-0.04093187125319204
LOBO,B0025,26,0.007807821140117119,-0.0402545080932728,-0.04041346659841483,-0.07213675213675212
LOBO,B0026,26,0.0533056506452012,-0.0001545528372208782,-0.00024772393719785235,0.037948717948717944
LOBO,B0027,26,0.00911367049740556,-0.05037318304578364,-0.06170325156238454,0.009914529914529914
LOBO,B0028,26,0.007298267512143721,-0.11599317577526791,-0.11772657586663837,-0.1152136752136752
LOBO,B0029,38,0.008285297165791844,0.0733734135778219,0.002800842273254611,0.004923952292373345
LOBO,B0030,38,0.009890319615805585,0.038987003917544394,0.004583760159461825,-0.1003392056023635
LOBO,B0031,38,0.009937102432219,0.053083536857916114,0.044926642769572256,0.12200459568880621
LOBO,B0032,38,0.010658755785241203,0.08315705771564319,0.009662597676979412,0.14279461647882702
LOBO,B0033,195,0.04199576410367023,0.006292298576138999,0.0031970415734550173,0.15079059379501203
LOBO,B0034,195,0.031039681861376966,0.011704760548968074,0.01139336134307467,0.23933709883636242
LOBO,B0036,195,0.018942349656346426,-0.00239098548780059,-0.0029335280852735846,0.12674424250271082
LOBO,B0038,45,0.04458986372019612,0.0803617849635947,0.06895052763154497,-0.08827404479578392
LOBO,B0039,45,0.07116676497400823,0.0585167631663972,0.048459637421070956,0.34505928853754936
LOBO,B0040,45,0.0728674873475212,0.034161945120648296,0.034072219442228935,0.025691699604743077
LOBO,B0041,65,0.047616754202394855,0.006645194683013833,-0.004498692378234637,0.49838286713286717
LOBO,B0042,109,0.05664850581161966,0.024045114413987267,0.024033820018497076,0.006245945695486981
LOBO,B0043,109,0.06021414339353671,0.02008549746908117,0.02006462095020478,0.3084885552775461
LOBO,B0044,109,0.058835554995183746,0.02041873856462706,0.020398613991115644,0.2300157538689649
LOBO,B0045,68,0.01079355579833672,0.058299077516760556,0.044198598561736024,0.23800435164331793
LOBO,B0046,67,0.013387661866406405,0.005225397500419393,-0.00469791919111584,0.04421741559581771
LOBO,B0047,67,0.014322064869884294,0.009617687897655824,-0.003071369338412122,0.13404900630537156
LOBO,B0048,67,0.014310196713159572,0.0037110116552420136,0.0006475520553278491,0.06461010455742677
LOBO,B0049,22,0.13314127076355675,0.00811130405170779,0.0007929227649695614,0.1925465838509317
LOBO,B0050,18,0.6517395743407609,0.002878780946464765,-0.0030317610590744337,0.09391124871001032
LOBO,B0051,22,0.13745975368635718,0.0036564635479552354,-0.0009562432731939907,0.3359683794466404
LOBO,B0053,53,0.027272081163442135,-0.0027288708737831513,-0.002788568327939389,-0.09966134494436381
LOBO,B0054,100,0.0190713226205729,0.009346787872887008,0.0092053300696181,-0.04061206120612061
LOBO,B0055,100,0.018527326227880534,0.014666781658788874,0.014507581850331408,0.05153315331533153
LOBO,B0056,100,0.026675111108053696,0.005432376017141749,0.004844960622586103,0.07308730873087309
LOCO,COLD4C_1A,269,0.0760421790254762,-11.672167768970171,-11.802188396185112,0.07734191496051342
LOCO,COLD4C_2A,353,0.07436040907920484,-5.598725526306828,-5.598813030427913,0.036886122472140626
LOCO,COLD4C_2A_flagged,64,0.3245182983427753,-0.030184871516844236,-0.03527659311856035,0.20608974358974358
LOCO,COLD4C_multiload,392,0.10318954696422585,-0.16710804820110914,-0.16726539672053575,0.21624560876458115
LOCO,ELEV43C_4A_CC_variedcutoff,152,0.0724226613433712,-25.92650714339321,-27.136798102769983,0.12208257300829009
LOCO,MIXED_24_44C_multiload,135,0.08550073402796883,-0.031571364391574264,-0.03498052506421945,0.03004097161252561
LOCO,RT_2A_CC_variedcutoff,628,0.014887975965757487,-0.25799653248486343,-0.2612109529630826,-0.023901060579493268
LOCO,RT_CC_mixed_current,585,0.02947786387077014,0.001507590257528335,-0.00026064728932118086,0.20990702146202642
LOCO,RT_SQWAVE_4A_variedcutoff,104,0.02247289912341908,-0.022274329560884043,-0.02234044769879051,-0.04731676090899392
