held_out_battery,cohort,n_test_cycles,mae,r2_vs_own_mean,spearman_rho
B0005,RT_2A_CC_variedcutoff,116,0.0946872719082274,-4.494517699954403,-0.565632568331219
B0006,RT_2A_CC_variedcutoff,116,0.08255818123598901,-0.5582838585938277,0.1778802906239188
B0007,RT_2A_CC_variedcutoff,116,0.09269281446882117,-6.362393788073289,-0.3235536078114789
B0018,RT_2A_CC_variedcutoff,80,0.07317266934454188,-1.7731933071882935,0.05600093764650727
B0033,RT_CC_mixed_current,145,0.22211283768482631,-0.05027679561786158,0.10929774838608092
B0034,RT_CC_mixed_current,145,0.11603815549114475,-1.7798690248338693,0.31090773106597386
B0036,RT_CC_mixed_current,145,0.1288353052329298,-2.7540116669761616,0.3421193512832625
B0041,COLD4C_multiload,15,0.48954935166089897,-402.38268715477034,-0.2607142857142857
B0042,COLD4C_multiload,59,0.6558640671583237,0.6549591062064342,0.36206896551724144
B0043,COLD4C_multiload,59,0.5230968355640906,0.6853818707503038,0.36738749269433085
B0044,COLD4C_multiload,59,0.4726297850074148,0.685130805471862,0.3680303915838692
B0045,COLD4C_1A,18,0.08321692212471951,-4.53251957941524,0.45510835913312697
B0046,COLD4C_1A,17,0.04553371074407382,0.1825896280264765,0.058823529411764705
B0047,COLD4C_1A,17,0.07477613328160448,-0.4593496439511435,0.15441176470588236
B0048,COLD4C_1A,17,0.04479724947798053,0.30991263662885216,0.1593137254901961
B0054,COLD4C_2A,50,0.043965825608574996,-2.1859968465893402,0.21286914765906362
B0055,COLD4C_2A,50,0.0444796381155272,-0.385966140404018,0.5776230492196878
B0056,COLD4C_2A,50,0.05096361378060611,-0.43901445251349736,0.46631452581032407
