feature,mean_abs_shap,mean_shap,importance_rank,share_of_total_attribution
aggressive_discharge_count,0.01675174273144035,-0.00955251233681212,1,0.20600371406852158
avg_soc,0.013752544846133193,-0.0019009330061516647,2,0.1691212288546022
trailing_aggressive_discharge_count,0.012087726280373494,0.005614345732970552,3,0.14864820623868963
avg_temp,0.009068615163619608,-0.0016061080857117482,4,0.11152083906216508
deep_discharge_duration,0.007954708665078601,0.006228901122822846,5,0.09782262989651014
avg_stress,0.00604795972376992,-0.0004326052921063623,6,0.07437448065000866
trailing_avg_temp,0.005141195683970498,0.001266346207470774,7,0.06322359545691947
trailing_deep_discharge_duration,0.003936440239178365,-0.0019353017195270882,8,0.048408175942050054
cycle,0.0029571566898499713,-0.00023598452740184375,9,0.036365485726349275
high_temp_duration,0.0023776533405194854,0.002043623768101443,10,0.029239072421710168
max_temp,0.0012419299954329005,0.00042659244188991284,11,0.015272571682473644
fast_charge_duration,0.0,0.0,12,0.0
ambient_temperature_c,0.0,0.0,13,0.0
