held_out,n_test,mae,r2_vs_global_mean,r2_vs_own_mean_oracle,spearman_rho
B0005,166,0.02379350077034474,-8.25899787088654,-8.26063808346597,0.13500202866850602
B0006,166,0.025717095027003957,-2.314279288403235,-2.3447683702018565,0.09835695726155895
B0007,166,0.013947778580872294,-1.0624800276637143,-1.0637184380171738,0.04286413094550726
B0018,130,0.022058262332498444,-1.6401197475480984,-1.6446861749081338,0.08655109073851382
B0025,26,0.03518509566327926,-17.39749565869513,-17.400306930730494,-0.1850838613204494
B0026,26,0.07663830115398394,-0.2856496585658779,-0.28576942544844,-0.2242000582034453
B0027,26,0.02826051189535149,-6.509682365608575,-6.59068711431468,0.0612384679784851
B0028,26,0.037635502413229896,-28.812031678906152,-28.858336781444304,-0.06033269776097034
B0029,38,0.009786935980410772,-0.16548473875116776,-0.2542489249240296,-0.10571738590176398
B0030,38,0.01631320846346016,-1.051529098189476,-1.1249716592469503,-0.1882279109287105
B0031,38,0.010447221810043903,-0.044562493690614824,-0.05356052673929379,0.1169110696905175
B0032,38,0.009672404465538794,0.27663126236390756,0.2186457641618328,0.35712642444834075
B0033,195,0.043001805610014106,0.20730743211885727,0.2048383084336992,0.08920272925760553
B0034,195,0.030685361337102608,0.24790738045846838,0.247670405680958,0.12570797845512388
B0036,195,0.0720242074703873,-0.7084681830085999,-0.7093928888161429,0.02419056688209913
B0038,45,0.03542514970237986,0.021792739909076264,0.009654733259869208,0.208991299932847
B0039,45,0.11018104792717219,-0.14391581510957518,-0.15613536904801428,0.1009918277749907
B0040,45,0.06379128713150888,0.05418224028432006,0.05409437447729071,0.4735322831109738
B0041,65,0.0700905114727471,0.2037751847469096,0.19484278781375897,-0.26832281657610085
B0042,109,0.07047345829806771,0.11776797608769829,0.11775776631515733,0.12748220237657842
B0043,109,0.04576752815685737,0.35548805466918176,0.3554743237102481,0.4457757846659602
B0044,109,0.058159594443907364,0.2894222253716332,0.289407627221154,-0.4224018043678702
B0045,68,0.2409609553084417,-321.0052405297157,-325.8267587093134,0.17813601861644318
B0046,67,0.012707227532752845,0.12087112418075718,0.11210142476793827,0.0728257546188411
B0047,67,0.013282780317191626,0.03690165812687918,0.02456217080501022,0.1985113531879048
B0048,67,0.012685341919609286,0.25229948486817055,0.250000402626233,0.33032143723571755
B0049,22,0.18478856663590265,0.1459663256877508,0.13966507022848207,0.4620163979774431
B0050,18,0.6561986467882677,0.0007359935243596016,-0.005187250081371442,0.19308211143030826
B0051,22,0.15252809579388993,-0.13191763034102832,-0.13715799572046938,0.0536420101637493
B0053,53,0.031999286957806156,-0.2738309745998686,-0.27390681211529055,0.09651815351336639
B0054,100,0.03299698751325869,-1.5516775480878433,-1.5520419083868706,-0.40980475086072626
B0055,100,0.018840620965723188,-0.09636635925397652,-0.09654349863296385,0.17926354242861706
B0056,100,0.026928303229089217,-0.06746607663370674,-0.06809654759562034,0.21008884984205006
